;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att;FDD;FDA;Squad;DF;DM;FW;GK;MF;score_df_mean;score_mf_mean;score_fw_mean;score_dm_mean;score_gk_mean;n_form;n;top_GK;top_MF;top_DM;top_DF;top_FW;top_MO;top_AIL;top_MIL;nb_def;nb_opp_def;nb_att;nb_opp_att;nb_mil;nb_opp_mil;diff_avant;diff_def;diff_mil;sup_def
53;2021-04-21;D;0;1;Home;1;48.0;24,1;4-5-1;1.0;24.6;70.1;10.0;26.0;-21.68000000000001;3;4;3-5-2;Bologna;reste;8.0;0;4;0;2.0;18.0;3.0;15.0;Torino;267.081;381.0;-5.110714285714286;1.0373159057437407;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;264;160;0;1;1;1;0;0;0;0;4;3;1;2;5;5;-2;2;0;1
56;2021-05-17;D;0;1;Away;0;49.0;24,1;4-5-1;5.0;17.0;77.8;12.0;17.0;-3.6100000000000136;5;5;3-4-3;Bologna;reste;13.0;0;3;0;3.0;12.0;1.0;19.0;Hellas-Verona;346.21;445.0;-2.0053571428571426;2.1040684830633283;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;99;160;0;1;1;1;0;0;0;0;4;3;1;3;5;4;-2;1;1;1
57;2020-09-26;L;0;0;Away;0;33.0;25,7;3-5-2;4.0;14.8;77.1;10.0;11.0;-377.1;7;9;3-5-2;Fiorentina;automne;10.0;0;1;0;1.0;21.0;0.0;14.0;Internazionale;272.163;353.0;-1.3732142857142855;1.696637211585665;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;264;200;0;0;0;1;0;0;0;0;3;3;2;2;5;5;-1;1;0;1
58;2020-10-25;W;1;1;Home;1;45.0;25,7;3-5-2;3.0;14.2;77.2;9.0;16.0;113.8;7;10;3-5-2;Fiorentina;automne;5.0;0;1;0;3.0;16.0;0.0;14.0;Udinese;301.08;390.0;-1.4238095238095236;1.3954221894943544;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;264;200;0;0;0;1;0;0;0;0;3;3;2;2;5;5;-1;1;0;1
59;2020-11-01;L;0;0;Away;0;59.0;25,7;3-5-2;1.0;19.4;82.7;13.0;16.0;-108.84999999999997;4;11;3-4-3;Fiorentina;automne;8.0;0;2;1;3.0;17.0;0.0;17.0;Roma;492.89200000000005;596.0;-1.2047619047619047;1.5803571428571428;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;99;200;0;0;0;1;0;0;0;0;3;3;2;3;5;4;-1;0;1;0
60;2020-11-07;D;0;1;Away;0;64.0;25,7;3-5-2;4.0;19.7;88.7;8.0;17.0;158.10000000000005;6;11;3-5-2;Fiorentina;automne;6.0;0;2;0;1.0;5.0;2.0;17.0;Parma;666.137;751.0;-2.824404761904762;1.5029884634266075;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;264;200;0;0;0;1;0;0;0;0;3;3;2;2;5;5;-1;1;0;1
61;2020-11-22;L;0;0;Home;1;62.0;25,7;4-5-1;2.0;10.0;81.9;7.0;14.0;236.67;15;11;4-5-1;Fiorentina;automne;7.0;0;2;0;3.0;13.0;1.0;17.0;Benevento;484.029;591.0;-2.2416666666666667;1.9887027491408937;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;212;160;0;0;0;1;0;0;0;0;4;4;1;1;5;5;-3;3;0;1
63;2020-12-13;L;0;0;Away;0;47.0;25,7;4-5-1;2.0;18.0;76.9;18.0;13.0;-143.2;6;12;3-4-3;Fiorentina;reste;4.0;0;2;0;1.0;21.0;1.0;17.0;Atalanta;372.19600000000014;484.0;-1.926785714285714;1.3168078055964652;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;99;160;0;0;0;1;0;0;0;0;4;3;1;3;5;4;-2;1;1;1
64;2020-12-16;D;0;1;Home;1;34.0;25,7;3-5-2;3.0;19.6;73.9;8.0;19.0;45.06;3;12;4-5-1;Fiorentina;reste;15.0;1;4;0;4.0;13.0;1.0;12.0;Sassuolo;260.12800000000004;352.0;-2.482738095238095;1.619452626411389;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;212;200;0;0;0;1;0;0;0;0;3;4;2;1;5;5;-2;2;0;1
66;2020-12-22;W;1;1;Away;0;46.0;25,7;3-5-2;5.0;16.0;81.5;6.0;17.0;-346.49999999999994;3;12;3-5-2;Fiorentina;reste;9.0;0;4;0;2.0;13.0;2.0;9.0;Juventus;361.045;443.0;-3.5005952380952383;1.3079958271968581;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812677;264;200;0;0;0;1;0;0;0;0;3;3;2;2;5;5;-1;1;0;1
