;Date;Time;Comp;Round;Day;Venue;Result;GF;GA;Opponent;xG;xGA;Poss;Attendance;Captain;Formation;Referee;Match Report;Notes;team;key;Sh;SoT;Dist;FK;PK;Att;Cmp%;CrdY;CrdR;2CrdY;Fls;Off;Int;age;value;repos
47;2021-05-12;20:45;Serie A;Matchweek 36;Wed;Home;W;2;0;Benevento;1.6;0.2;71.0;;Remo Freuler;4-2-3-1;Davide Massa;Match Report;;Atalanta;2021-05-1220:45Serie AMatchweek 36HomeWBeneventoAtalanta;15.0;4.0;16.0;1.0;0;745.0;87.9;2;0;0;19.0;0.0;6.0;24.5;€398.75m;3
48;2021-05-15;15:00;Serie A;Matchweek 37;Sat;Away;W;4;3;Genoa;2.1;1.8;60.0;;Rafael Tolói;3-4-3;Livio Marinelli;Match Report;;Atalanta;2021-05-1515:00Serie AMatchweek 37AwayWGenoaAtalanta;12.0;6.0;13.3;0.0;0;713.0;86.7;2;0;0;8.0;1.0;11.0;24.5;€398.75m;3
49;2021-05-19;21:00;Coppa Italia;Final;Wed;Home;L;1;2;Juventus;;;57.0;4300.0;Rafael Tolói;3-4-3;Davide Massa;Match Report;;Atalanta;2021-05-1921:00Coppa ItaliaFinalHomeLJuventusAtalanta;11.0;4.0;;;0;;;5;1;0;15.0;1.0;10.0;24.5;€398.75m;4
50;2021-05-23;20:45;Serie A;Matchweek 38;Sun;Home;L;0;2;Milan;0.7;2.1;70.0;;Rafael Tolói;3-4-3;Maurizio Mariani;Match Report;;Atalanta;2021-05-2320:45Serie AMatchweek 38HomeLMilanAtalanta;13.0;1.0;20.5;1.0;0;680.0;86.2;3;1;0;17.0;1.0;9.0;24.5;€398.75m;4
0;2020-09-21;20:45;Serie A;Matchweek 1;Mon;Away;L;0;2;Milan;1.1;2.6;42.0;1000.0;Rodrigo Palacio;4-2-3-1;Federico La Penna;Match Report;;Bologna;2020-09-2120:45Serie AMatchweek 1AwayLMilanBologna;13.0;4.0;16.8;0.0;0;399.0;81.7;5;1;1;20.0;1.0;11.0;23.7;€186.20m;10
1;2020-09-28;20:45;Serie A;Matchweek 2;Mon;Home;W;4;1;Parma;1.6;1.4;58.0;1000.0;Andrea Poli;4-2-3-1;Paolo Valeri;Match Report;;Bologna;2020-09-2820:45Serie AMatchweek 2HomeWParmaBologna;12.0;8.0;15.0;1.0;0;564.0;83.5;1;0;0;12.0;2.0;12.0;23.7;€186.20m;7
2;2020-10-04;15:00;Serie A;Matchweek 3;Sun;Away;L;0;1;Benevento;2.0;1.0;60.0;1000.0;Rodrigo Palacio;4-2-3-1;Simone Sozza;Match Report;;Bologna;2020-10-0415:00Serie AMatchweek 3AwayLBeneventoBologna;17.0;7.0;18.5;1.0;0;482.0;80.1;1;0;0;15.0;5.0;7.0;23.7;€186.20m;6
3;2020-10-18;12:30;Serie A;Matchweek 4;Sun;Home;L;3;4;Sassuolo;1.4;2.7;48.0;1000.0;Rodrigo Palacio;4-4-2;Daniele Doveri;Match Report;;Bologna;2020-10-1812:30Serie AMatchweek 4HomeLSassuoloBologna;14.0;6.0;16.6;1.0;0;396.0;70.5;2;0;0;20.0;0.0;13.0;23.7;€186.20m;14
4;2020-10-24;20:45;Serie A;Matchweek 5;Sat;Away;L;1;2;Lazio;1.7;1.5;52.0;1000.0;Rodrigo Palacio;4-2-3-1;Massimiliano Irrati;Match Report;;Bologna;2020-10-2420:45Serie AMatchweek 5AwayLLazioBologna;21.0;5.0;18.0;1.0;0;524.0;82.4;3;0;0;16.0;2.0;14.0;23.7;€186.20m;6
5;2020-10-27;15:00;Coppa Italia;Third round;Tue;Home;W;2;0;US Reggina;;;;;;;Gianluca Manganiello;Match Report;;Bologna;2020-10-2715:00Coppa ItaliaThird roundHomeWUS RegginaBologna;2.0;2.0;;;0;;;2;0;0;0.0;0.0;0.0;23.7;€186.20m;3
