;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;n_form;Penalty;Rouge;periode;nb_def
56;2020-09-19;W;1;1;Home;1;50.0;25.4;3-5-2;5.0;15.7;82.3;15.0;17.0;102.4;10;9;4-4-2;Fiorentina;automne;15.0;0;3;0;162;0;0;2020-09;3
57;2020-10-02;L;0;0;Home;1;64.0;25.4;3-5-2;5.0;18.9;81.4;7.0;11.0;197.25;6;10;4-4-2;Fiorentina;automne;22.0;0;0;0;162;0;0;2020-10;3
58;2020-10-18;D;0;1;Away;0;48.0;25.4;3-5-2;3.0;10.1;83.0;10.0;18.0;247.3;16;10;4-3-3;Fiorentina;automne;9.0;0;2;0;207;0;0;2020-10;3
59;2020-10-25;W;1;1;Home;1;45.0;25.4;3-5-2;3.0;14.2;77.2;9.0;16.0;183.5;7;10;3-5-2;Fiorentina;automne;5.0;0;1;0;322;0;0;2020-10;3
60;2020-11-01;L;0;0;Away;0;59.0;25.4;3-5-2;1.0;19.4;82.7;13.0;16.0;-55.44999999999999;4;11;3-4-3;Fiorentina;automne;8.0;0;2;1;155;0;1;2020-11;3
61;2020-11-29;L;0;0;Away;0;56.0;25.4;4-3-3;3.0;13.6;78.9;9.0;15.0;-221.15000000000003;4;11;4-5-1;Fiorentina;automne;5.0;0;4;0;327;0;0;2020-11;4
63;2020-12-13;L;0;0;Away;0;47.0;25.4;4-5-1;2.0;18.0;76.9;18.0;13.0;-72.94999999999997;6;12;3-4-3;Fiorentina;reste;4.0;0;2;0;155;0;0;2020-12;4
64;2020-12-16;D;0;1;Home;1;34.0;25.4;3-5-2;3.0;19.6;73.9;8.0;19.0;74.80000000000003;3;12;4-5-1;Fiorentina;reste;15.0;1;4;0;327;1;0;2020-12;3
65;2020-12-22;W;1;1;Away;0;46.0;25.4;3-5-2;5.0;16.0;81.5;6.0;17.0;-316.7;3;12;3-5-2;Fiorentina;reste;9.0;0;4;0;322;0;0;2020-12;3
66;2021-01-03;D;0;1;Home;1;47.0;25.4;3-5-2;0.0;18.2;81.8;6.0;8.0;139.60000000000002;12;1;4-5-1;Fiorentina;reste;9.0;0;4;0;327;0;0;2021-01;3
