;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;key;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Drib_pct;Mis;Dis;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
55;Hatem Ben Arfa;MF;Lille;34;7.0;4;314.0;3.5;0.0;1.0;1.0;0.0;74dc806c;Hatem Ben ArfaFWMFLille;3;1;33.3;132.0;153.0;86.3;13.0;4.0;2;50.0;3.0;0.0;3.0;0;4.0;1.0;0.0;46.7;12.0;10.0;7;2;7;0.0;;;;;
56;Salim Ben Seghir;MF;Marseille;18;1.0;0;1.0;0.0;0.0;0.0;0.0;0.0;1f6298f2;Salim Ben SeghirMFMarseille;0;0;;0.0;0.0;;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;;0.0;0.0;0;0;0;;;;;;
57;Wissam Ben Yedder;FW;Monaco;30;37.0;29;2529.0;28.1;25.0;5.0;3.0;0.0;942b4f90;Wissam Ben YedderFWMonaco;64;36;56.3;496.0;688.0;72.1;71.0;18.0;8;40.0;12.0;1.0;11.0;0;18.0;1.0;0.0;43.9;62.0;45.0;19;24;14;31.3;;;;;
58;Darío Benedetto;MF;Marseille;31;2.0;0;54.0;0.6;0.0;0.0;0.0;0.0;bef0a7ac;Darío BenedettoFWMFMarseille;3;0;0.0;9.0;12.0;75.0;1.0;0.0;0;;2.0;0.0;2.0;0;0.0;0.0;0.0;0.0;1.0;0.0;0;0;0;100.0;;;;;
59;Walter Benítez;GK;Nice;28;37.0;37;3330.0;37.0;0.0;0.0;2.0;0.0;8a2248b4;Walter BenítezGKNice;0;0;;777.0;1036.0;75.0;3.0;0.0;0;0.0;1.0;0.0;1.0;0;0.0;12.0;2.0;;0.0;0.0;0;0;0;100.0;78.0;37.8;6.2;;
60;Loris Benito;DF;Bordeaux;29;1.0;1;61.0;0.7;0.0;0.0;0.0;0.0;f5b6fb78;Loris BenitoDFBordeaux;0;0;;42.0;52.0;80.8;0.0;0.0;0;;0.0;0.0;0.0;1;1.0;3.0;1.0;;1.0;1.0;1;0;0;;;;;;
61;Nabil Bentaleb;MF;Angers;26;18.0;18;1515.0;16.8;1.0;0.0;4.0;0.0;3189f61a;Nabil BentalebMFAngers;15;7;46.7;755.0;913.0;82.7;18.0;42.0;24;55.2;24.0;9.0;15.0;28;70.0;13.0;0.0;64.5;33.0;9.0;29;0;3;60.0;;;;;
62;Patrick Berg;MF;Lens;23;14.0;2;307.0;3.4;0.0;0.0;0.0;0.0;e4114f5d;Patrick BergMFLens;1;0;0.0;179.0;218.0;82.1;5.0;14.0;6;0.0;2.0;1.0;1.0;4;18.0;3.0;0.0;0.0;2.0;0.0;5;0;2;75.0;;;;;
63;Mitchell van Bergen;MF;Reims;21;20.0;11;983.0;10.9;0.0;0.0;1.0;0.0;0b2c9aec;Mitchell van BergenFWMFReims;12;5;41.7;139.0;225.0;61.8;27.0;8.0;5;40.0;9.0;0.0;9.0;4;12.0;7.0;0.0;60.9;35.0;7.0;8;10;49;15.0;;;;;
64;Valon Berisha;MF;Reims;28;13.0;5;455.0;5.1;0.0;1.0;2.0;1.0;d5575935;Valon BerishaMFFWReims;4;0;0.0;126.0;188.0;67.0;10.0;10.0;7;20.0;9.0;0.0;9.0;4;14.0;3.0;0.0;60.0;11.0;7.0;13;2;27;57.1;;;;;
65;Paul Bernardoni;GK;Angers;24;13.0;13;1170.0;13.0;0.0;0.0;0.0;0.0;28dabd43;Paul BernardoniGKAngers;0;0;;267.0;340.0;78.5;1.0;3.0;2;75.0;0.0;0.0;0.0;0;3.0;8.0;1.0;;1.0;0.0;0;0;0;87.5;65.2;30.8;10.9;;
66;Paul Bernardoni;GK;Saint-Étienne;24;19.0;19;1710.0;19.0;0.0;0.0;0.0;0.0;28dabd43;Paul BernardoniGKSaint-Étienne;0;0;;330.0;581.0;56.8;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;14.0;2.0;;0.0;0.0;0;0;0;75.0;65.6;15.8;9.6;;
67;Juan Bernat;MF;Paris S-G;28;15.0;12;958.0;10.6;0.0;0.0;2.0;0.0;433dc9a2;Juan BernatDFMFParis S-G;1;1;100.0;628.0;681.0;92.2;10.0;24.0;14;72.2;8.0;0.0;8.0;8;32.0;16.0;0.0;60.9;7.0;5.0;4;1;12;50.0;;;;;
68;Dimitry Bertaud;GK;Montpellier;23;11.0;9;833.0;9.3;0.0;0.0;0.0;0.0;380a15e2;Dimitry BertaudGKMontpellier;0;0;;223.0;313.0;71.2;2.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;5.0;1.0;;0.0;0.0;0;0;0;66.7;68.4;22.2;6.3;;
69;Jason Berthomier;MF;Clermont Foot;31;29.0;22;1732.0;19.2;1.0;5.0;0.0;0.0;03e91055;Jason BerthomierMFClermont Foot;23;4;17.4;1158.0;1427.0;81.1;89.0;29.0;14;35.3;14.0;2.0;12.0;8;37.0;4.0;1.0;71.0;38.0;18.0;14;2;133;40.7;;;;;
70;Giulian Biancone;MF;Troyes;21;33.0;26;2292.0;25.5;1.0;2.0;10.0;0.0;de40e38c;Giulian BianconeDFMFTroyes;28;9;32.1;939.0;1279.0;73.4;45.0;70.0;42;58.0;23.0;8.0;15.0;53;123.0;71.0;1.0;44.4;30.0;10.0;34;4;87;58.5;;;;;
71;El Bilal Touré;FW;Reims;19;21.0;15;1194.0;13.3;2.0;4.0;2.0;0.0;47c609d5;El Bilal TouréFWReims;32;10;31.3;242.0;330.0;73.3;28.0;13.0;6;28.6;10.0;3.0;7.0;6;19.0;19.0;0.0;42.1;31.0;13.0;20;6;4;50.4;;;;;
72;Jean-Claude Billong;DF;Clermont Foot;27;15.0;10;980.0;10.9;0.0;0.0;2.0;0.0;a3e1d20d;Jean-Claude BillongDFClermont Foot;5;1;20.0;417.0;490.0;85.1;4.0;17.0;8;72.7;9.0;1.0;8.0;10;27.0;35.0;0.0;66.7;4.0;1.0;7;0;1;76.3;;;;;
73;Nathan Bitu Mazala;DF;Paris S-G;18;1.0;0;11.0;0.1;0.0;0.0;0.0;0.0;0f697e02;Nathan Bitu MazalaDFParis S-G;0;0;;9.0;10.0;90.0;0.0;0.0;0;;1.0;0.0;1.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;;;;;;
74;Marco Bizot;GK;Brest;30;38.0;38;3420.0;38.0;0.0;1.0;1.0;0.0;3d214e5f;Marco BizotGKBrest;0;0;;851.0;1207.0;70.5;6.0;3.0;1;60.0;1.0;0.0;1.0;0;3.0;24.0;1.0;;0.0;0.0;0;0;0;80.0;68.8;18.4;3.0;;
75;Ludovic Blas;MF;Nantes;23;35.0;35;2961.0;32.9;10.0;5.0;10.0;0.0;6191093d;Ludovic BlasMFFWNantes;85;32;37.6;833.0;1056.0;78.9;107.0;33.0;18;34.1;33.0;3.0;30.0;31;64.0;6.0;1.0;40.5;96.0;79.0;45;4;37;37.0;;;;;
