;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att
50;2021-05-23;L;0;0;Home;1;70.0;25,0;3-4-3;1.0;20.5;86.2;9.0;17.0;-117.77999999999997;4;5;4-5-1;Atalanta;reste;13.0;0;3;1;3.0;4.0;2.0;11.0;Milan;586.16;680.0
51;2020-09-21;L;0;0;Away;0;42.0;24,1;4-5-1;4.0;16.8;81.7;11.0;20.0;-394.17999999999995;10;9;4-5-1;Bologna;automne;13.0;0;5;1;3.0;16.0;1.0;13.0;Milan;325.983;399.0
52;2020-09-28;W;1;1;Home;1;58.0;24,1;4-5-1;8.0;15.0;83.5;12.0;12.0;24.900000000000006;7;9;4-3-3;Bologna;automne;12.0;0;1;0;3.0;9.0;1.0;9.0;Parma;470.94;564.0
53;2020-10-04;L;0;0;Away;0;60.0;24,1;4-5-1;7.0;18.5;80.1;7.0;15.0;103.47;6;10;4-5-1;Bologna;automne;17.0;0;1;0;2.0;7.0;0.0;13.0;Benevento;386.082;482.0
54;2020-10-18;L;0;0;Home;1;48.0;24,1;4-4-2;6.0;16.6;70.5;13.0;20.0;-88.14000000000001;14;10;4-5-1;Bologna;automne;14.0;0;2;0;2.0;25.0;0.0;11.0;Sassuolo;279.18;396.0
55;2020-10-24;L;0;0;Away;0;52.0;24,1;4-5-1;5.0;18.0;82.4;14.0;16.0;-172.73;6;10;3-5-2;Bologna;automne;21.0;0;3;0;3.0;10.0;0.0;14.0;Lazio;431.77600000000007;524.0
56;2020-10-27;W;1;1;Home;1;;24,1;<NA>-<NA>-<NA>;2.0;;;0.0;0.0;;3;10;<NA>-<NA>-<NA>;Bologna;automne;2.0;0;2;0;;;;;US Reggina;;
57;2020-10-31;W;1;1;Home;1;52.0;24,1;4-5-1;9.0;20.6;78.1;11.0;11.0;-34.23000000000002;4;10;4-5-1;Bologna;automne;22.0;0;3;0;3.0;7.0;0.0;18.0;Cagliari;378.785;485.0
58;2020-11-08;L;0;0;Home;1;48.0;24,1;4-5-1;3.0;20.9;78.5;14.0;12.0;-376.6;8;11;4-5-1;Bologna;automne;9.0;0;3;0;0.0;19.0;1.0;11.0;Napoli;387.79;494.0
59;2020-11-22;W;1;1;Away;0;55.0;24,1;4-5-1;3.0;17.1;77.8;20.0;9.0;26.419999999999987;14;11;4-3-3;Bologna;automne;11.0;0;2;0;2.0;11.0;0.0;12.0;Sampdoria;431.79;555.0
