;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;key;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Drib_pct;Mis;Dis;Touches;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
65;Kristijan Bistrović;DM;Lecce;24-352;11.0;5;461.0;5.1;0.0;0.0;0.0;0.0;79370f8c;Kristijan BistrovićMFLecce;8;1;12.5;101.0;140.0;72.1;10.0;3.0;1;0.0;3.0;0.0;3.0;0;3.0;4.0;0.0;100.0;3.0;5.0;168.0;2;1;21;28.6;;;;Kristijan Bistrović;1.0
66;Alexis Blin;MF;Lecce;26-192;25.0;17;1608.0;17.9;1.0;0.0;4.0;0.0;c69ef855;Alexis BlinMFDFLecce;9;2;22.2;552.0;687.0;80.3;22.0;49.0;25;58.7;37.0;11.0;26.0;24;73.0;63.0;0.0;50.0;22.0;10.0;928.0;27;0;21;37.2;;;;;
67;Jeremie Boga;MF;Atalanta;26-083;17.0;5;585.0;6.5;1.0;5.0;0.0;0.0;fe012aca;Jeremie BogaMFFWAtalanta;11;2;18.2;281.0;352.0;79.8;47.0;5.0;3;33.3;5.0;0.0;5.0;1;6.0;1.0;0.0;50.0;26.0;7.0;448.0;4;0;38;50.0;;;;;
68;Emil Bohinen;MF;Salernitana;24-015;13.0;6;492.0;5.5;0.0;0.0;0.0;0.0;c83c203f;Emil BohinenMFSalernitana;2;0;0.0;232.0;270.0;85.9;8.0;17.0;10;72.7;11.0;4.0;7.0;10;27.0;12.0;0.0;28.6;5.0;4.0;342.0;8;0;1;41.7;;;;;
69;Giacomo Bonaventura;MF;Fiorentina;33-217;23.0;18;1556.0;17.3;3.0;0.0;4.0;0.0;d995ed27;Giacomo BonaventuraMFFiorentina;43;11;25.6;634.0;767.0;82.7;56.0;32.0;20;63.6;10.0;0.0;10.0;15;47.0;4.0;1.0;42.1;21.0;24.0;954.0;20;2;38;42.3;;;;;
70;Federico Bonazzoli;MF;Salernitana;25-310;22.0;12;1075.0;11.9;2.0;1.0;1.0;0.0;bf57eaab;Federico BonazzoliFWMFSalernitana;31;7;22.6;255.0;342.0;74.6;24.0;3.0;1;0.0;9.0;1.0;8.0;3;6.0;0.0;0.0;54.5;42.0;12.0;471.0;17;7;4;31.6;;;;;
71;Warren Bondo;MF;Monza;19-193;4.0;0;60.0;0.7;0.0;0.0;1.0;0.0;0def2376;Warren BondoMFMonza;1;0;0.0;45.0;51.0;88.2;3.0;1.0;0;;1.0;0.0;1.0;0;1.0;0.0;0.0;75.0;1.0;1.0;60.0;2;0;0;100.0;;;;;
72;Kevin Bonifazi;DF;Bologna;26-312;7.0;4;416.0;4.6;0.0;0.0;1.0;0.0;fb77bfef;Kevin BonifaziDFBologna;2;0;0.0;215.0;251.0;85.7;3.0;6.0;4;50.0;6.0;4.0;2.0;6;12.0;21.0;0.0;0.0;3.0;4.0;309.0;3;1;1;9.1;;;;;
73;Leonardo Bonucci;DF;Juventus;35-330;13.0;7;692.0;7.7;1.0;0.0;1.0;0.0;52ec54d0;Leonardo BonucciDFJuventus;2;1;50.0;380.0;439.0;86.6;8.0;5.0;4;50.0;10.0;7.0;3.0;9;14.0;24.0;0.0;100.0;2.0;1.0;499.0;10;1;0;37.9;;;;;
74;Erik Botheim;FW;Salernitana;23-076;18.0;3;355.0;3.9;1.0;1.0;1.0;0.0;3d13d9e4;Erik BotheimFWSalernitana;4;1;25.0;55.0;87.0;63.2;9.0;4.0;3;100.0;1.0;0.0;1.0;0;4.0;1.0;0.0;66.7;8.0;5.0;117.0;7;0;3;45.8;;;;;
