;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;key;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Drib_pct;Mis;Dis;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
38;Bastos;DF;Lazio;29;2.0;0;63.0;0.7;0.0;0.0;0.0;0.0;c01c66d9;BastosDFLazio;0;0;;38.0;41.0;92.7;2.0;3.0;1;60.0;1.0;0.0;1.0;0;3.0;3.0;0.0;50.0;0.0;3.0;1;0;0;100.0;;;;;
39;Rodrigo Becão;DF;Udinese;24;35.0;32;2780.0;30.9;1.0;0.0;5.0;0.0;19e4eab9;Rodrigo BecãoDFUdinese;10;3;30.0;1173.0;1371.0;85.6;25.0;59.0;33;55.1;48.0;27.0;21.0;68;127.0;94.0;2.0;75.0;12.0;9.0;50;0;13;62.9;;;;;
40;Valon Behrami;MF;Genoa;35;26.0;8;892.0;9.9;0.0;0.0;3.0;1.0;d3d758d8;Valon BehramiMFGenoa;4;1;25.0;162.0;218.0;74.3;7.0;21.0;9;34.6;13.0;5.0;8.0;9;30.0;13.0;0.0;33.3;7.0;2.0;28;0;3;40.0;;;;;
41;Andrea Belotti;FW;Torino;26;35.0;33;2888.0;32.1;13.0;6.0;4.0;0.0;d705ba44;Andrea BelottiFWTorino;102;35;34.3;481.0;716.0;67.2;123.0;30.0;18;31.4;27.0;4.0;23.0;12;42.0;21.0;0.0;58.0;107.0;41.0;58;21;25;42.2;;;;;
42;Ahmad Benali;MF;Crotone;28;18.0;15;1214.0;13.5;0.0;1.0;2.0;0.0;a128b07e;Ahmad BenaliMFCrotone;10;4;40.0;662.0;788.0;84.0;31.0;19.0;11;28.9;15.0;2.0;13.0;6;25.0;15.0;0.0;45.0;22.0;11.0;12;1;28;71.4;;;;;
43;Ismaël Bennacer;MF;Milan;22;21.0;17;1326.0;14.7;0.0;2.0;4.0;0.0;db092d3b;Ismaël BennacerMFMilan;12;1;8.3;851.0;984.0;86.5;28.0;39.0;18;46.9;10.0;1.0;9.0;20;59.0;12.0;0.0;80.6;21.0;15.0;20;0;10;34.4;;;;;
44;Rodrigo Bentancur;DM;Juventus;23;33.0;27;2324.0;25.8;0.0;4.0;8.0;1.0;3b8674e6;Rodrigo BentancurMFJuventus;15;5;33.3;1643.0;1851.0;88.8;69.0;63.0;33;33.9;35.0;12.0;23.0;47;110.0;46.0;1.0;68.6;29.0;16.0;45;2;25;58.8;;;;Rodrigo Bentancur;1.0
45;Alessandro Berardi;GK;Hellas-Verona;29;1.0;0;28.0;0.3;0.0;0.0;0.0;0.0;ec1f737d;Alessandro BerardiGKHellas Verona;0;0;;6.0;11.0;54.5;1.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;;0.0;0.0;0;0;0;;100.0;;0.0;;
46;Domenico Berardi;FW;Sassuolo;25;30.0;28;2475.0;27.5;17.0;7.0;4.0;0.0;53a0e358;Domenico BerardiFWSassuolo;105;32;30.5;984.0;1310.0;75.1;151.0;42.0;22;33.9;23.0;1.0;22.0;26;68.0;34.0;0.0;47.6;54.0;31.0;43;2;117;27.3;;;;;
47;Álex Berenguer;MF;Torino;25;2.0;2;131.0;1.5;0.0;0.0;0.0;0.0;dc1c2fce;Álex BerenguerMFTorino;2;2;100.0;32.0;47.0;68.1;3.0;2.0;0;40.0;2.0;0.0;2.0;0;2.0;1.0;0.0;100.0;3.0;2.0;2;1;5;50.0;;;;;
48;Bartosz Bereszyński;DF;Sampdoria;28;31.0;29;2607.0;29.0;1.0;0.0;2.0;0.0;61b3978f;Bartosz BereszyńskiDFSampdoria;3;1;33.3;1203.0;1496.0;80.4;37.0;66.0;44;56.2;40.0;20.0;20.0;42;108.0;88.0;0.0;54.5;27.0;15.0;28;0;46;45.9;;;;;
49;Federico Bernardeschi;MF;Juventus;26;27.0;8;972.0;10.8;0.0;2.0;3.0;0.0;ee93c1a9;Federico BernardeschiMFDFJuventus;13;6;46.2;447.0;585.0;76.4;43.0;9.0;4;20.0;6.0;2.0;4.0;14;23.0;7.0;1.0;68.8;27.0;12.0;13;2;85;46.2;;;;;
50;Marco Bertini;MF;Lazio;17;1.0;0;5.0;0.1;0.0;0.0;0.0;0.0;4b520f96;Marco BertiniMFLazio;0;0;;2.0;2.0;100.0;0.0;1.0;0;;0.0;0.0;0.0;0;1.0;0.0;0.0;100.0;0.0;0.0;0;0;0;;;;;;
51;Daniel Bessa;MF;Hellas-Verona;27;18.0;4;615.0;6.8;0.0;2.0;1.0;0.0;88895312;Daniel BessaMFHellas Verona;8;4;50.0;252.0;299.0;84.3;19.0;15.0;8;42.9;5.0;1.0;4.0;2;17.0;0.0;0.0;60.0;18.0;12.0;16;3;16;11.1;;;;;
52;Cristiano Biraghi;DF;Fiorentina;27;35.0;31;2803.0;31.1;1.0;5.0;8.0;0.0;9e1577aa;Cristiano BiraghiDFFiorentina;25;6;24.0;1175.0;1735.0;67.7;92.0;42.0;23;60.0;23.0;9.0;14.0;27;69.0;56.0;3.0;44.8;32.0;5.0;27;4;286;32.1;;;;;
53;Davide Biraschi;DF;Genoa;26;13.0;11;915.0;10.2;0.0;0.0;2.0;0.0;64cd167d;Davide BiraschiDFGenoa;2;0;0.0;405.0;518.0;78.2;4.0;17.0;9;50.0;12.0;6.0;6.0;21;38.0;26.0;0.0;40.0;12.0;5.0;16;0;13;39.1;;;;;
54;Jeremie Boga;MF;Sassuolo;23;27.0;20;1785.0;19.8;4.0;2.0;0.0;0.0;fe012aca;Jeremie BogaFWMFSassuolo;32;15;46.9;675.0;764.0;88.4;47.0;11.0;9;27.3;10.0;0.0;10.0;8;19.0;7.0;0.0;56.9;57.0;31.0;9;9;11;20.0;;;;;
55;Giacomo Bonaventura;MF;Fiorentina;30;34.0;27;2256.0;25.1;3.0;2.0;5.0;0.0;d995ed27;Giacomo BonaventuraMFFiorentina;44;11;25.0;761.0;956.0;79.6;65.0;34.0;19;30.2;26.0;2.0;24.0;39;73.0;12.0;0.0;66.7;36.0;30.0;39;7;38;48.3;;;;;
56;Federico Bonazzoli;FW;Torino;23;20.0;4;564.0;6.3;2.0;2.0;2.0;0.0;bf57eaab;Federico BonazzoliFWTorino;21;5;23.8;129.0;155.0;83.2;17.0;6.0;4;15.4;3.0;0.0;3.0;2;8.0;3.0;0.0;53.3;15.0;8.0;11;4;1;30.8;;;;;
57;Federico Bonazzoli;FW;Sampdoria;23;2.0;2;131.0;1.5;0.0;1.0;0.0;0.0;bf57eaab;Federico BonazzoliFWSampdoria;4;0;0.0;19.0;27.0;70.4;3.0;0.0;0;;1.0;0.0;1.0;0;0.0;0.0;0.0;100.0;3.0;3.0;3;0;1;0.0;;;;;
58;Kevin Bonifazi;DF;Udinese;24;30.0;28;2469.0;27.4;0.0;0.0;4.0;0.0;fb77bfef;Kevin BonifaziDFUdinese;17;0;0.0;1204.0;1360.0;88.5;15.0;32.0;21;34.8;33.0;20.0;13.0;50;82.0;85.0;1.0;81.3;19.0;3.0;26;0;4;63.1;;;;;
