;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att;FDD;FDA;Squad;DF;DM;FW;GK;MF;score_df_mean;score_mf_mean;score_fw_mean;score_dm_mean;score_gk_mean;n_form;n;top_GK;top_MF;top_DM;top_DF;top_FW;nb_def;nb_opp_def;nb_att;nb_opp_att;nb_mil;nb_opp_mil;diff_avant;diff_def;diff_mil;sup_def
32;2022-10-16;L;0;0;Away;0;51.0;25.6;4-3-3;3.0;17.5;83.5;10.0;10.0;-493.3;8;10;4-3-3;Bologna;automne;16.0;0;4;0;0.0;31.0;0.0;6.0;Napoli;470.105;563.0;-1.6950757575757573;1.5204014668982822;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;107;94;0;1;0;0;0;4;4;3;3;3;3;-1;1;0;1
33;2022-10-23;W;1;1;Home;1;54.0;25.6;4-5-1;4.0;13.3;74.6;11.0;12.0;41.56999999999999;3;10;4-5-1;Bologna;automne;8.0;1;5;0;2.0;8.0;0.0;14.0;Lecce;346.14399999999995;464.0;-0.30000000000000004;1.6598687512063306;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;65;67;0;1;0;0;0;4;4;1;1;5;5;-3;3;0;1
34;2022-10-31;W;1;1;Away;0;44.0;25.6;3-4-3;5.0;17.5;80.5;12.0;18.0;20.999999999999982;8;10;3-5-2;Bologna;automne;10.0;0;2;0;4.0;8.0;1.0;13.0;Monza;363.86;452.0;-1.6090909090909093;1.5757044972013123;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;156;84;0;1;0;0;0;3;3;3;2;4;5;0;1;-1;1
35;2022-11-06;W;1;1;Home;1;56.0;25.6;3-4-3;5.0;14.2;75.3;7.0;14.0;-33.83000000000001;6;11;3-4-3;Bologna;automne;9.0;0;3;0;3.0;6.0;1.0;17.0;Torino;411.13800000000003;546.0;-1.6719696969696973;1.8849937270797144;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;93;84;0;1;0;0;0;3;3;3;3;4;4;0;0;0;0
36;2022-11-09;L;0;0;Away;0;43.0;25.6;4-5-1;4.0;19.6;78.8;11.0;11.0;-398.75000000000006;3;11;3-5-2;Bologna;automne;10.0;0;5;0;1.0;12.0;2.0;10.0;Internazionale;341.992;434.0;-2.4833333333333334;1.2480920671684999;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;156;67;0;1;0;0;0;4;3;1;2;5;5;-2;2;0;1
37;2022-11-12;W;1;1;Home;1;51.0;25.6;4-5-1;4.0;19.6;82.6;11.0;12.0;-35.700000000000024;3;11;4-3-3;Bologna;automne;8.0;0;1;0;0.0;9.0;1.0;6.0;Sassuolo;441.084;534.0;-1.3624999999999998;0.9024860065624397;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;107;67;0;1;0;0;0;4;4;1;3;5;3;-3;1;2;1
38;2023-01-04;L;0;0;Away;0;61.0;25.6;4-5-1;1.0;16.7;83.1;3.0;10.0;-181.45;53;1;3-5-2;Bologna;reste;11.0;0;3;0;2.0;13.0;1.0;10.0;Roma;535.164;644.0;-2.2064393939393936;1.5104839799266552;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;156;67;0;1;0;0;0;4;3;1;2;5;5;-2;2;0;1
39;2023-01-09;L;0;0;Home;1;51.0;25.6;4-5-1;3.0;21.1;78.0;11.0;16.0;-193.8;5;1;3-5-2;Bologna;reste;12.0;0;3;0;2.0;7.0;0.0;15.0;Atalanta;453.96;582.0;-0.5041666666666667;1.6202953097857555;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;156;67;0;1;0;0;0;4;3;1;2;5;5;-2;2;0;1
40;2023-01-15;W;1;1;Away;0;49.0;25.6;4-3-3;2.0;17.3;73.5;4.0;17.0;-7.350000000000023;6;1;3-5-2;Bologna;reste;15.0;0;3;0;1.0;20.0;1.0;10.0;Udinese;299.88;408.0;-3.0196969696969695;1.6135470951553754;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;156;94;0;1;0;0;0;4;3;3;2;3;5;0;2;-2;1
41;2023-01-23;D;0;1;Home;1;68.0;25.6;4-3-3;8.0;22.5;82.1;9.0;11.0;70.79999999999998;4;1;3-5-2;Bologna;reste;21.0;0;2;0;5.0;8.0;1.0;13.0;Cremonese;564.0269999999998;687.0;-1.415151515151515;2.0278213665315574;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;156;94;0;1;0;0;0;4;3;3;2;3;5;0;2;-2;1
42;2023-01-27;W;1;1;Home;1;57.0;25.6;4-5-1;6.0;16.0;80.2;18.0;8.0;49.39999999999999;4;1;3-5-2;Bologna;reste;18.0;0;2;0;2.0;6.0;0.0;16.0;Spezia;482.00200000000007;601.0;0.7280303030303031;2.3485012545840567;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;156;67;0;1;0;0;0;4;3;1;2;5;5;-2;2;0;1
43;2023-02-05;W;1;1;Away;0;38.0;25.6;4-5-1;5.0;18.7;70.2;18.0;25.0;-100.60000000000002;9;2;4-3-3;Bologna;reste;10.0;1;4;0;2.0;17.0;0.0;10.0;Fiorentina;247.104;352.0;-1.0928030303030305;1.189709515537541;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;107;67;0;1;0;0;0;4;4;1;3;5;3;-3;1;2;1
44;2023-02-12;L;0;0;Home;1;63.0;25.6;4-5-1;4.0;15.1;81.1;7.0;15.0;20.999999999999982;7;2;3-4-3;Bologna;reste;13.0;0;1;0;4.0;5.0;0.0;18.0;Monza;467.947;577.0;-0.6761363636363636;2.2261035514379466;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;93;67;0;1;0;0;0;4;3;1;3;5;4;-2;1;1;1
45;2023-02-18;W;1;1;Away;0;59.0;25.6;4-5-1;5.0;18.6;80.9;5.0;13.0;64.24999999999999;6;2;3-5-2;Bologna;reste;12.0;0;1;0;3.0;7.0;3.0;13.0;Sampdoria;474.074;586.0;-3.8496212121212126;1.6495020266357847;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;156;67;0;1;0;0;0;4;3;1;2;5;5;-2;2;0;1
46;2023-02-26;W;1;1;Home;1;48.0;25.6;4-5-1;5.0;19.9;79.7;9.0;7.0;-398.75000000000006;8;2;3-5-2;Bologna;reste;13.0;0;1;0;2.0;13.0;0.0;14.0;Internazionale;428.786;538.0;-0.46098484848484855;1.6978812005404362;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;156;67;0;1;0;0;0;4;3;1;2;5;5;-2;2;0;1
47;2023-03-06;L;0;0;Away;0;56.0;25.6;4-5-1;1.0;21.8;84.3;7.0;10.0;-33.83000000000001;8;3;3-4-3;Bologna;reste;11.0;0;2;0;2.0;12.0;0.0;9.0;Torino;483.039;573.0;-0.7803030303030302;1.198490156340475;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;93;67;0;1;0;0;0;4;3;1;3;5;4;-2;1;1;1
48;2023-03-11;D;0;1;Home;1;54.0;25.6;4-5-1;2.0;19.0;86.3;7.0;11.0;-139.2;5;3;4-3-3;Bologna;reste;16.0;0;2;0;3.0;5.0;0.0;8.0;Lazio;586.84;680.0;-0.40946969696969704;1.611241073151901;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;107;67;0;1;0;0;0;4;4;1;3;5;3;-3;1;2;1
49;2023-03-18;D;0;1;Away;0;58.0;25.6;4-5-1;2.0;18.5;85.0;4.0;16.0;36.019999999999975;7;3;3-4-3;Bologna;reste;10.0;0;1;0;0.0;14.0;0.0;8.0;Salernitana;509.15;599.0;-1.5780303030303031;1.2459612044006947;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;93;67;0;1;0;0;0;4;3;1;3;5;4;-2;1;1;1
50;2022-08-14;L;0;0;Away;0;59.0;25.0;4-4-2;5.0;23.4;77.1;10.0;8.0;17.0;8;8;3-5-2;Empoli;reste;18.0;0;1;0;2.0;9.0;0.0;15.0;Spezia;451.806;586.0;-0.18674242424242415;1.8671887666473654;Empoli;2.0;2.0;0.0;0.0;1.0;2.956298597780775;1.611437934504098;1.886712049414804;3.139972571602682;1.317573844849539;156;30;0;1;1;1;0;4;3;2;2;4;5;-1;2;-1;1
51;2022-08-21;D;0;1;Home;1;37.0;25.0;4-4-2;2.0;13.7;73.3;14.0;13.0;-133.0;7;8;4-3-3;Empoli;reste;4.0;0;1;1;3.0;19.0;0.0;11.0;Fiorentina;230.895;315.0;-0.781439393939394;1.1737290098436595;Empoli;2.0;2.0;0.0;0.0;1.0;2.956298597780775;1.611437934504098;1.886712049414804;3.139972571602682;1.317573844849539;107;30;0;1;1;1;0;4;4;2;3;4;3;-2;1;1;1
52;2022-08-28;D;0;1;Away;0;59.0;25.0;4-4-2;3.0;23.2;79.0;7.0;5.0;9.170000000000002;7;8;4-3-3;Empoli;reste;9.0;0;2;0;1.0;15.0;0.0;10.0;Lecce;410.01;519.0;-0.6344696969696969;1.0045768191468827;Empoli;2.0;2.0;0.0;0.0;1.0;2.956298597780775;1.611437934504098;1.886712049414804;3.139972571602682;1.317573844849539;107;30;0;1;1;1;0;4;4;2;3;4;3;-2;1;1;1
