;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;FDD;FDA
78;2021-03-07;L;0;0;Away;0;57.0;23.7;4-5-1;4.0;22.0;77.6;6.0;14.0;-291.0300000000001;4;3;4-5-1;Bologna;reste;16.0;0;0;0;2.0;14.0;0.0;12.0;-1.2884615384615383;1.6275510204081634
79;2021-03-14;W;1;1;Home;1;44.0;23.7;4-5-1;6.0;16.6;76.6;15.0;16.0;57.649999999999984;7;3;4-5-1;Bologna;reste;10.0;0;2;0;2.0;18.0;1.0;11.0;-1.9711538461538463;1.237491049051199
81;2021-04-03;L;0;0;Home;1;56.0;23.7;4-5-1;2.0;18.6;82.8;6.0;17.0;-372.35;14;4;3-5-2;Bologna;reste;12.0;0;4;0;4.0;14.0;3.0;15.0;-4.475961538461538;1.7209765485141424
82;2021-04-11;L;0;0;Away;0;56.0;23.7;4-5-1;4.0;17.5;82.4;7.0;14.0;-195.05;8;4;3-4-3;Bologna;reste;12.0;0;1;0;3.0;14.0;0.0;14.0;-1.2115384615384617;1.7145989974937343
83;2021-04-18;W;1;1;Home;1;41.0;23.7;4-5-1;4.0;13.6;74.8;12.0;15.0;107.7;7;4;4-3-3;Bologna;reste;10.0;1;1;0;1.0;8.0;0.0;12.0;-0.5144230769230769;1.400420694593627
84;2021-04-21;D;0;1;Home;1;48.0;23.7;4-5-1;1.0;24.6;70.1;10.0;26.0;-37.200000000000024;3;4;3-5-2;Bologna;reste;8.0;0;4;0;2.0;18.0;3.0;15.0;-4.980769230769231;1.0245032223415682
85;2021-04-25;L;0;0;Away;0;44.0;23.7;5-3-2;3.0;20.1;78.0;16.0;8.0;-212.55;4;4;3-4-3;Bologna;reste;8.0;0;1;1;0.0;24.0;2.0;12.0;-2.769230769230769;0.9964196204797706
86;2021-05-02;D;0;1;Home;1;62.0;23.7;3-4-3;6.0;16.7;84.9;6.0;16.0;-139.60000000000002;7;5;3-5-2;Bologna;reste;12.0;0;2;0;2.0;8.0;1.0;12.0;-2.0384615384615383;1.7356784819190834
87;2021-05-08;D;0;1;Away;0;53.0;23.7;4-5-1;3.0;18.1;82.5;8.0;18.0;43.899999999999984;6;5;3-6-1;Bologna;reste;15.0;1;1;0;1.0;9.0;1.0;12.0;-2.0721153846153846;1.6938551736484064
88;2021-05-12;L;0;0;Home;1;66.0;23.7;4-5-1;6.0;17.3;79.8;5.0;9.0;64.91999999999999;4;5;4-4-2;Bologna;reste;22.0;0;1;0;2.0;10.0;1.0;11.0;-1.8028846153846154;2.3377416756176155
89;2021-05-17;D;0;1;Away;0;49.0;23.7;4-5-1;5.0;17.0;77.8;12.0;17.0;23.22;5;5;3-4-3;Bologna;reste;13.0;0;3;0;3.0;12.0;1.0;19.0;-1.8894230769230769;1.9923021840315074
90;2021-05-23;L;0;0;Home;1;49.0;23.7;4-5-1;5.0;22.4;84.2;10.0;7.0;-456.3;6;5;4-4-2;Bologna;reste;20.0;0;1;0;2.0;21.0;0.0;16.0;-0.9807692307692307;1.9667919799498748
91;2020-09-19;W;1;1;Home;1;50.0;25.4;3-5-2;5.0;15.7;82.3;15.0;17.0;102.4;10;9;4-4-2;Fiorentina;automne;15.0;0;3;0;1.0;6.0;1.0;20.0;-1.2836538461538463;2.263672574292875
92;2020-09-26;L;0;0;Away;0;33.0;25.4;3-5-2;4.0;14.8;77.1;10.0;11.0;-232.74999999999997;7;9;3-5-2;Fiorentina;automne;10.0;0;1;0;1.0;21.0;0.0;14.0;-1.2307692307692308;1.3238453276047262
93;2020-10-02;L;0;0;Home;1;64.0;25.4;3-5-2;5.0;18.9;81.4;7.0;11.0;197.25;6;10;4-4-2;Fiorentina;automne;22.0;0;0;0;3.0;17.0;2.0;16.0;-3.2115384615384617;2.533521303258145
94;2020-10-18;D;0;1;Away;0;48.0;25.4;3-5-2;3.0;10.1;83.0;10.0;18.0;247.3;16;10;4-3-3;Fiorentina;automne;9.0;0;2;0;2.0;12.0;0.0;15.0;-1.1057692307692308;1.826799140708915
95;2020-10-25;W;1;1;Home;1;45.0;25.4;3-5-2;3.0;14.2;77.2;9.0;16.0;183.5;7;10;3-5-2;Fiorentina;automne;5.0;0;1;0;3.0;16.0;0.0;14.0;-1.3076923076923077;1.2524838882921592
97;2020-11-01;L;0;0;Away;0;59.0;25.4;3-5-2;1.0;19.4;82.7;13.0;16.0;-55.44999999999999;4;11;3-4-3;Fiorentina;automne;8.0;0;2;1;3.0;17.0;0.0;17.0;-1.0625;1.607791800930899
101;2020-11-29;L;0;0;Away;0;56.0;25.4;4-3-3;3.0;13.6;78.9;9.0;15.0;-221.15000000000003;4;11;4-5-1;Fiorentina;automne;5.0;0;4;0;2.0;15.0;2.0;15.0;-3.1826923076923075;1.538578589330469
102;2020-12-07;D;0;1;Home;1;61.0;25.4;4-3-3;6.0;14.3;80.2;9.0;7.0;204.52;8;12;4-<NA>-<NA>;Fiorentina;reste;19.0;0;2;0;2.0;5.0;0.0;20.0;-0.05769230769230771;2.7780836018617974
103;2020-12-13;L;0;0;Away;0;47.0;25.4;4-5-1;2.0;18.0;76.9;18.0;13.0;-72.94999999999997;6;12;3-4-3;Fiorentina;reste;4.0;0;2;0;1.0;21.0;1.0;17.0;-1.7403846153846154;1.2186940565699964
104;2020-12-16;D;0;1;Home;1;34.0;25.4;3-5-2;3.0;19.6;73.9;8.0;19.0;74.80000000000003;3;12;4-5-1;Fiorentina;reste;15.0;1;4;0;4.0;13.0;1.0;12.0;-2.3846153846153846;1.2839912280701755
105;2020-12-19;D;0;1;Home;1;59.0;25.4;3-6-1;0.0;19.3;67.7;14.0;11.0;162.82000000000005;3;12;3-4-3;Fiorentina;reste;9.0;1;2;0;2.0;5.0;1.0;16.0;-0.9230769230769231;1.6128938417472254
106;2020-12-22;W;1;1;Away;0;46.0;25.4;3-5-2;5.0;16.0;81.5;6.0;17.0;-316.7;3;12;3-5-2;Fiorentina;reste;9.0;0;4;0;2.0;13.0;2.0;9.0;-3.4134615384615383;1.115691013247404
107;2021-01-03;D;0;1;Home;1;47.0;25.4;3-5-2;0.0;18.2;81.8;6.0;8.0;139.60000000000002;12;1;4-5-1;Fiorentina;reste;9.0;0;4;0;3.0;7.0;0.0;11.0;-0.47596153846153844;1.1459899749373434
