;team;Formation;year;Poss;age;Dist;Fls;diff_value;PK;coup_arret;nb_top;cluster
99;Sampdoria;3-5-2;2021;44.0;26.4;12.9;17.0;-199.15;0.0;1.0;1.0;0
100;Sampdoria;4-5-1;2021;44.416666666666664;26.399999999999995;17.908333333333328;13.333333333333334;-208.7825;0.08333333333333333;0.9166666666666666;1.0;0
101;Sampdoria;3-5-2;2022;40.0;26.2;18.5;8.5;-182.52499999999998;0.0;0.0;1.0;0
102;Sampdoria;4-3-3;2022;41.0;26.2;18.0;15.0;-270.2;0.0;0.0;1.0;0
103;Sampdoria;4-4-2;2022;47.30434782608695;26.2;17.782608695652176;13.08695652173913;-127.19999999999997;0.08695652173913043;0.5652173913043478;1.0;3
104;Sampdoria;4-5-1;2022;43.666666666666664;26.199999999999996;19.055555555555557;13.555555555555555;-159.11333333333334;0.0;0.3333333333333333;1.0;0
105;Sampdoria;3-4-3;2023;41.75;26.4;16.525;12.75;-85.7325;0.0;1.25;1.0;3
106;Sampdoria;3-5-2;2023;43.25;26.400000000000002;18.3625;15.375;-197.57000000000002;0.125;0.875;1.0;0
107;Sampdoria;4-4-2;2023;55.0;26.4;20.200000000000003;15.5;-129.54999999999998;0.0;0.5;1.0;3
108;Sampdoria;4-5-1;2023;50.3;26.4;19.359999999999996;13.7;-189.358;0.0;0.6;1.0;0
109;Sassuolo;4-5-1;2021;60.78260869565217;24.89999999999999;19.26086956521739;13.130434782608695;-54.033478260869565;0.391304347826087;0.34782608695652173;2.0;3
110;Sassuolo;4-3-3;2022;54.84615384615385;25.0;19.707692307692305;12.23076923076923;-34.162307692307714;0.15384615384615385;0.46153846153846156;3.0;3
111;Sassuolo;4-5-1;2022;54.82608695652174;25.0;18.108695652173914;11.782608695652174;-20.475217391304344;0.08695652173913043;0.6086956521739131;3.0;3
112;Sassuolo;4-3-3;2023;48.61904761904762;25.699999999999996;18.161904761904765;10.380952380952381;-69.75333333333334;0.23809523809523808;0.6190476190476191;3.0;3
113;Sassuolo;4-5-1;2023;43.0;25.7;17.766666666666666;14.333333333333334;-140.88333333333333;0.3333333333333333;0.6666666666666666;3.0;0
114;Spezia;3-4-3;2022;40.5;23.6;23.0;12.0;-121.005;0.0;1.5;2.0;3
115;Spezia;3-5-2;2022;39.333333333333336;23.600000000000005;17.7;13.0;-249.82666666666668;0.0;0.3333333333333333;2.0;0
116;Spezia;4-3-3;2022;45.142857142857146;23.599999999999998;18.2;13.857142857142858;-149.1414285714286;0.0;1.0;2.0;0
117;Spezia;4-4-2;2022;35.0;23.6;14.15;10.5;-246.375;0.0;1.5;2.0;0
118;Spezia;4-5-1;2022;43.23809523809524;23.60000000000001;18.942857142857143;13.952380952380953;-190.05476190476193;0.09523809523809523;0.7142857142857143;2.0;0
119;Spezia;3-4-3;2023;52.0;25.7;26.7;17.0;-230.85;0.0;1.0;2.0;0
120;Spezia;3-5-2;2023;44.63157894736842;25.699999999999992;17.705263157894738;14.052631578947368;-195.58105263157896;0.15789473684210525;0.3684210526315789;2.0;0
121;Spezia;4-3-3;2023;61.5;25.7;19.0;9.0;11.424999999999995;0.0;0.5;2.0;3
122;Spezia;4-5-1;2023;55.0;25.7;18.400000000000002;12.333333333333334;-158.75;0.0;0.6666666666666666;2.0;0
123;Torino;3-5-2;2021;46.7;25.39999999999999;17.750000000000004;15.3;-120.391;0.05;0.4;2.0;3
124;Torino;3-4-3;2022;53.65714285714286;24.799999999999986;17.40857142857143;16.542857142857144;-41.63571428571427;0.14285714285714285;0.7142857142857143;3.0;3
125;Torino;3-5-2;2022;45.5;24.8;16.1;24.0;-178.115;0.0;0.0;3.0;0
126;Torino;3-4-3;2023;51.45454545454545;24.60000000000001;17.063636363636363;14.318181818181818;-89.73863636363637;0.09090909090909091;0.5;3.0;3
127;Torino;3-5-2;2023;58.0;24.6;18.0;14.5;36.765;0.0;1.0;3.0;2
128;Udinese;3-5-2;2021;49.11764705882353;25.800000000000008;18.57058823529412;12.235294117647058;-79.93823529411763;0.058823529411764705;0.8235294117647058;2.0;3
129;Udinese;3-4-3;2022;40.25;25.0;18.525;14.75;-124.2525;0.0;0.5;1.0;3
130;Udinese;3-5-2;2022;43.56;25.0;17.955999999999996;15.0;-130.80919999999995;0.08;0.64;1.0;3
131;Udinese;4-4-2;2022;39.0;25.0;18.966666666666665;14.333333333333334;-71.69333333333333;0.0;0.0;1.0;3
132;Udinese;3-5-2;2023;47.869565217391305;25.39999999999999;18.104347826086958;12.0;-105.34434782608695;0.0;0.6956521739130435;1.0;3
133;Venezia;3-4-3;2022;48.75;24.7;19.425;13.25;-174.155;0.25;0.25;2.0;0
134;Venezia;3-5-2;2022;39.333333333333336;24.7;16.433333333333334;8.333333333333334;-204.3733333333333;0.0;0.6666666666666666;2.0;0
135;Venezia;4-3-3;2022;39.916666666666664;24.699999999999992;17.74166666666667;15.083333333333334;-193.65166666666664;0.08333333333333333;1.6666666666666667;2.0;0
136;Venezia;4-4-2;2022;42.0;24.699999999999996;18.688888888888886;13.777777777777779;-184.49555555555557;0.1111111111111111;0.6666666666666666;2.0;0
137;Venezia;4-5-1;2022;43.875;24.699999999999996;17.675;14.625;-213.72125;0.0;1.25;2.0;0
