;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att
65;2021-11-21;L;0;0;Home;1;67.0;23.7;3-4-3;6.0;19.7;84.0;7.0;6.0;105.21999999999998;14;11;4-4-2;Bologna;automne;22.0;0;0;0;3.0;8.0;0.0;9.0;Venezia;597.24;711.0
66;2021-11-28;W;1;1;Away;0;57.0;23.7;3-4-3;4.0;18.3;83.0;14.0;12.0;107.69999999999999;7;11;4-3-3;Bologna;automne;16.0;1;1;0;3.0;13.0;0.0;15.0;Spezia;463.14;558.0
67;2021-12-01;W;1;1;Home;1;43.0;23.7;3-4-3;3.0;25.3;77.9;13.0;9.0;-195.05;3;12;3-5-2;Bologna;reste;6.0;0;3;0;4.0;13.0;1.0;18.0;Roma;327.18000000000006;420.0
68;2021-12-05;L;0;0;Home;1;37.0;23.7;5-3-2;4.0;18.7;77.5;5.0;12.0;-139.60000000000002;4;12;4-3-3;Bologna;reste;8.0;0;3;0;3.0;5.0;2.0;15.0;Fiorentina;282.1;364.0
69;2021-12-12;L;0;0;Away;0;51.0;23.7;3-4-3;4.0;25.4;76.4;9.0;18.0;-37.20000000000002;7;12;3-4-3;Bologna;reste;7.0;1;4;0;2.0;16.0;1.0;16.0;Torino;352.204;461.0
70;2021-12-18;L;0;0;Home;1;57.0;23.7;3-5-2;3.0;19.9;81.3;14.0;7.0;-456.3;6;12;4-3-3;Bologna;reste;11.0;0;1;0;1.0;11.0;0.0;19.0;Juventus;483.735;595.0
71;2021-12-22;W;1;1;Away;0;40.0;23.7;3-5-2;5.0;16.6;78.2;13.0;12.0;-64.80000000000001;4;12;4-3-3;Bologna;reste;9.0;0;3;0;1.0;13.0;0.0;14.0;Sassuolo;297.16;380.0
72;2022-01-11;L;0;0;Away;0;48.0;23.7;3-5-2;3.0;18.3;67.6;15.0;15.0;51.66999999999999;20;1;3-5-2;Bologna;reste;9.0;0;2;0;3.0;13.0;0.0;12.0;Cagliari;292.032;432.0
73;2022-01-17;L;0;0;Home;1;39.0;23.7;3-5-2;5.0;17.6;79.1;13.0;9.0;-291.03000000000003;6;1;4-5-1;Bologna;reste;12.0;0;3;0;1.0;14.0;1.0;11.0;Napoli;340.921;431.0
74;2022-01-21;L;0;0;Away;0;44.0;23.7;5-3-2;2.0;21.0;64.0;16.0;9.0;23.22;4;1;3-4-3;Bologna;reste;8.0;0;4;0;2.0;14.0;0.0;21.0;Hellas-Verona;250.88;392.0
75;2022-02-06;D;0;1;Home;1;60.0;23.7;3-5-2;2.0;19.1;79.8;14.0;10.0;59.69999999999999;16;2;4-5-1;Bologna;reste;12.0;0;2;0;4.0;15.0;0.0;15.0;Empoli;449.274;563.0
76;2022-02-12;L;0;0;Away;0;44.0;23.7;3-5-2;3.0;16.3;85.1;7.0;16.0;-78.28000000000003;6;2;4-3-3;Bologna;reste;11.0;0;2;0;2.0;11.0;1.0;13.0;Lazio;423.79799999999994;498.0
77;2022-02-21;W;1;1;Home;1;61.0;23.7;3-4-3;7.0;19.0;78.9;9.0;7.0;107.69999999999999;9;2;4-5-1;Bologna;reste;19.0;0;1;0;1.0;6.0;0.0;13.0;Spezia;444.20700000000005;563.0
78;2022-02-26;D;0;1;Away;0;44.0;23.7;3-4-3;3.0;22.5;73.5;6.0;25.0;115.63999999999999;5;2;4-5-1;Bologna;reste;8.0;0;3;0;2.0;15.0;5.0;13.0;Salernitana;271.95;370.0
79;2022-03-06;D;0;1;Home;1;51.0;23.7;3-4-3;1.0;20.3;70.7;5.0;23.0;-37.20000000000002;8;3;3-4-3;Bologna;reste;6.0;0;3;0;3.0;13.0;0.0;16.0;Torino;277.144;392.0
80;2022-03-13;L;0;0;Away;0;39.0;23.7;3-4-3;0.0;15.0;70.4;7.0;16.0;-139.60000000000002;7;3;4-3-3;Bologna;reste;4.0;0;5;1;1.0;14.0;1.0;9.0;Fiorentina;237.952;338.0
81;2022-03-20;L;0;0;Home;1;60.0;23.7;3-4-3;3.0;17.4;76.0;10.0;9.0;-212.55;7;3;3-4-3;Bologna;reste;12.0;0;0;0;1.0;15.0;0.0;12.0;Atalanta;459.04;604.0
82;2022-04-04;D;0;1;Away;0;47.0;23.7;3-5-2;4.0;23.1;76.8;17.0;7.0;-360.75000000000006;15;4;4-5-1;Bologna;reste;8.0;0;2;0;0.0;33.0;0.0;10.0;Milan;321.024;418.0
83;2022-04-11;W;1;1;Home;1;52.0;23.7;3-5-2;4.0;18.1;80.9;11.0;11.0;57.64999999999998;7;4;4-4-2;Bologna;reste;19.0;0;1;0;2.0;9.0;0.0;11.0;Sampdoria;440.09600000000006;544.0
84;2022-04-16;D;0;1;Away;0;49.0;23.7;3-5-2;2.0;21.9;81.5;12.0;11.0;-456.3;5;4;4-3-3;Bologna;reste;9.0;0;5;2;1.0;23.0;2.0;11.0;Juventus;343.115;421.0
85;2022-04-24;D;0;1;Home;1;55.0;23.7;3-5-2;3.0;17.2;79.8;5.0;9.0;43.89999999999998;8;4;3-5-2;Bologna;reste;10.0;0;2;0;2.0;17.0;0.0;22.0;Udinese;375.85799999999995;471.0
