;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;key;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Touches;Drib_pct;Mis;Dis;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
221;Adam Idah;MF;Norwich City;20;17.0;6;625.0;6.9;1.0;1.0;0.0;0.0;291e3ec3;Adam IdahFWMFNorwich City;14;4;28.6;95.0;150.0;63.3;17.0;9.0;6;66.7;4.0;2.0;2.0;3;12.0;7.0;0.0;232.0;60.0;23.0;13.0;7;10;13;37.2;;;;;
222;Kelechi Iheanacho;FW;Leicester City;24;26.0;13;1264.0;14.0;4.0;5.0;1.0;0.0;c92e1a31;Kelechi IheanachoFWLeicester City;31;12;38.7;276.0;361.0;76.5;38.0;10.0;7;21.4;19.0;0.0;19.0;4;14.0;10.0;0.0;531.0;48.5;52.0;21.0;17;7;6;29.6;;;;;
223;Danny Ings;FW;Aston Villa;29;30.0;22;1898.0;21.1;7.0;6.0;4.0;0.0;07802f7f;Danny IngsFWAston Villa;48;17;35.4;251.0;378.0;66.4;32.0;23.0;16;35.1;31.0;2.0;29.0;6;29.0;22.0;0.0;617.0;32.3;50.0;21.0;16;11;13;40.3;;;;;
224;Tim Iroegbunam;MF;Aston Villa;18;3.0;1;92.0;1.0;0.0;0.0;1.0;0.0;84c5ceea;Tim IroegbunamMFAston Villa;1;0;0.0;22.0;27.0;81.5;0.0;5.0;4;100.0;0.0;0.0;0.0;2;7.0;1.0;0.0;36.0;;0.0;0.0;2;0;0;100.0;;;;;
225;Alex Iwobi;MF;Everton;25;28.0;22;2035.0;22.6;2.0;2.0;1.0;0.0;6ca5ec4b;Alex IwobiMFDFEverton;24;6;25.0;599.0;782.0;76.6;66.0;40.0;19;40.4;39.0;3.0;36.0;20;60.0;25.0;2.0;1052.0;56.1;44.0;27.0;16;3;32;30.0;;;;;
226;Daniel James;FW;Manchester Utd;23;2.0;2;126.0;1.4;0.0;0.0;0.0;0.0;c931d9f9;Daniel JamesFWManchester Utd;4;1;25.0;20.0;34.0;58.8;3.0;2.0;1;;2.0;0.0;2.0;0;2.0;1.0;0.0;52.0;0.0;4.0;3.0;1;2;5;50.0;;;;;
227;Daniel James;MF;Leeds United;23;32.0;29;2366.0;26.3;4.0;4.0;7.0;1.0;c931d9f9;Daniel JamesFWMFLeeds United;50;15;30.0;326.0;508.0;64.2;54.0;24.0;14;43.5;18.0;1.0;17.0;8;32.0;12.0;0.0;757.0;39.6;54.0;22.0;30;13;60;19.7;;;;;
228;Reece James;DM;Chelsea;21;26.0;22;1864.0;20.7;5.0;9.0;4.0;1.0;1265a93a;Reece JamesDFChelsea;37;10;27.0;1450.0;1687.0;86.0;88.0;33.0;25;40.9;20.0;2.0;18.0;17;50.0;22.0;0.0;1881.0;76.6;26.0;22.0;20;4;108;44.7;;;;Reece James;1.0
229;Vitaly Janelt;MF;Brentford;23;31.0;27;2298.0;25.5;4.0;0.0;3.0;0.0;8449d35e;Vitaly JaneltMFBrentford;30;12;40.0;755.0;1005.0;75.1;57.0;61.0;32;50.9;23.0;7.0;16.0;28;89.0;35.0;0.0;1253.0;86.7;35.0;11.0;26;3;40;56.9;;;;;
230;Pontus Jansson;DF;Brentford;30;37.0;37;3321.0;36.9;3.0;1.0;7.0;0.0;172e52d8;Pontus JanssonDFBrentford;22;10;45.5;1218.0;1507.0;80.8;14.0;40.0;21;64.7;37.0;27.0;10.0;52;92.0;187.0;0.0;1893.0;100.0;10.0;5.0;15;5;1;55.7;;;;;
