Player,Pos,Squad,Age,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,-9999
Giacomo Raspadori,MFFW,Sassuolo,21,9,1,1,29,33,4,63,9,18,1,0,0,126,9,18,33.3,6e058f06
Nicola Ravaglia,GK,Sampdoria,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,d7a35008
Ante Rebić,FW,Milan,27,2,0,0,18,9,8,28,3,8,0,0,0,25,13,22,37.1,536cebe5
Arkadiusz Reca,DF,Spezia,26,3,0,0,23,13,0,37,32,19,0,1,0,98,18,28,39.1,6213fd82
Pepe Reina,GK,Lazio,38,3,0,0,1,1,0,0,0,0,0,1,0,7,5,0,100.0,e358587b
Panagiotis Retsos,DF,Hellas Verona,22,0,0,0,1,1,0,1,2,0,0,0,0,3,0,0,,4bd00a50
Bryan Reynolds,DF,Roma,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2306bf5c
Franck Ribéry,MFFW,Salernitana,38,3,1,0,31,39,2,43,3,10,0,0,0,82,4,13,23.5,f61c7c4e
Samuele Ricci,MF,Torino,19,1,0,0,14,13,2,0,14,4,0,0,0,40,1,5,16.7,9823be92
Samuele Ricci,MF,Empoli,19,1,1,0,17,42,0,6,31,19,0,0,0,121,3,4,42.9,9823be92
Tomás Rincón,MF,Torino,33,2,0,0,5,2,0,1,2,2,0,0,0,11,3,5,37.5,f1cfc209
Tomás Rincón,MF,Sampdoria,33,3,0,0,22,31,0,5,18,13,0,0,0,75,14,11,56.0,f1cfc209
Ricardo Rodríguez,DF,Torino,28,3,0,0,26,11,0,65,41,21,0,1,0,163,53,34,60.9,7f78ad23
Marko Rog,MF,Cagliari,26,0,0,0,11,14,0,3,1,3,0,0,0,19,4,5,44.4,b6b2b820
Rogério,DF,Sassuolo,23,5,0,0,15,34,1,82,18,13,0,0,0,95,10,15,40.0,10e7f486
Alessio Romagnoli,DF,Milan,26,4,1,0,17,13,3,1,19,14,0,1,0,79,46,19,70.8,3ead85f9
Simone Romagnoli,DF,Empoli,31,3,0,0,17,5,0,1,9,12,0,1,1,103,54,33,62.1,09899de8
Luka Romero,FW,Lazio,16,0,0,0,2,3,0,1,1,1,0,0,0,4,0,1,0.0,ca6edaa0
Sergio Romero,GK,Venezia,34,2,0,0,1,1,0,0,1,2,0,1,0,13,6,1,85.7,1e26e376
Cristiano Ronaldo,FW,Juventus,36,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,,dea698d9
Marten de Roon,MFDF,Atalanta,30,7,1,1,50,15,0,7,45,42,0,0,0,212,52,34,60.5,2a1beb34
Francesco Rossi,GK,Atalanta,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,7b5f516f
Nicolò Rovella,MF,Genoa,19,5,0,0,26,24,3,110,20,26,0,0,0,118,5,15,25.0,e58cbfd5
Amir Rrahmani,DF,Napoli,27,5,0,0,23,23,0,0,19,11,0,0,0,174,78,50,60.9,4b3e1a38
Ruan,DF,Sassuolo,22,1,0,0,4,8,0,1,2,4,0,1,0,22,7,8,46.7,a378a02a
Daniele Rugani,DF,Juventus,27,2,0,0,11,1,0,0,11,5,0,0,0,43,16,14,53.3,14b8fcdf
Matteo Ruggeri,DF,Salernitana,19,1,0,0,1,2,1,29,2,4,0,0,0,40,9,7,56.3,ae9898c5
Mário Rui,DF,Napoli,30,7,0,0,31,60,4,80,40,43,0,0,0,173,14,31,31.1,0b5a292a
Fabián Ruiz Peña,MF,Napoli,25,2,0,0,21,18,1,17,22,33,0,0,0,203,8,12,40.0,c0c7ff58
Alessandro Russo,MF,Salernitana,17,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,7152082d
Stefano Sabelli,DF,Genoa,28,3,0,0,6,8,0,9,3,3,0,1,0,19,3,4,42.9,0ccac09c
Abdelhamid Sabiri,MFFW,Sampdoria,24,3,0,0,21,34,1,15,7,18,0,0,0,39,26,26,50.0,4830e0af
Alexis Saelemaekers,FW,Milan,22,2,0,0,29,37,1,63,15,22,0,0,0,120,9,14,39.1,ee251371
Jacopo Sala,MF,Spezia,29,3,0,0,11,12,1,6,14,11,0,1,0,71,4,4,50.0,da5a981b
Eddie Salcedo,MFFW,Spezia,19,1,0,0,8,6,2,13,0,1,0,0,0,14,11,10,52.4,0489bb30
Lazar Samardzic,MFFW,Udinese,19,0,0,0,11,3,0,32,2,9,0,0,0,33,6,5,54.5,217c93a1
Luigi Samele,FW,Sassuolo,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,548fea2f
Antonio Sanabria,FW,Torino,25,3,0,0,26,34,21,3,2,2,2,0,0,52,78,124,38.6,0a447501
Alexis Sánchez,FW,Inter,32,0,0,0,10,21,8,35,2,8,0,0,0,36,10,16,38.5,2c0f8e9e
Alex Sandro,DF,Juventus,30,3,0,0,31,34,1,35,27,16,1,0,1,113,31,20,60.8,0d82903c
Nicola Sansone,FWMF,Bologna,29,6,0,0,16,21,6,52,4,7,2,0,0,52,7,18,28.0,7eb97a8e
Federico Santander,FWDF,Bologna,30,1,0,0,2,5,0,1,0,1,0,0,0,3,8,7,53.3,df85d472
Samir Santos,DF,Udinese,26,5,0,0,33,16,0,12,42,16,0,0,0,77,40,17,70.2,92b4758e
Riccardo Saponara,FW,Fiorentina,29,1,0,0,6,24,4,28,1,2,1,0,0,59,5,9,35.7,3bb7af3b
Giacomo Satalino,GK,Sassuolo,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,b1f0b916
Martin Satriano,FWMF,Inter,20,0,0,0,1,0,0,0,0,0,0,0,0,2,1,3,25.0,86383d0e
Giorgio Scalvini,DFMF,Atalanta,17,1,0,0,15,7,0,3,22,11,0,0,0,56,20,17,54.1,1e9aa637
Gianluca Scamacca,FW,Sassuolo,22,7,0,0,49,20,10,11,5,14,0,0,0,46,51,39,56.7,8790f988
Andrea Schiavone,MF,Salernitana,28,1,0,0,10,5,0,29,8,8,0,0,0,29,3,3,50.0,4b55eb4d
David Schnegg,DF,Venezia,22,1,0,0,3,0,1,3,3,0,0,0,0,16,2,3,40.0,1c341b14
Jerdy Schouten,MF,Bologna,24,4,1,1,17,7,0,1,33,17,0,0,0,102,28,18,60.9,2cfae697
