Player,Pos,Squad,Age,90s,Sh,SoT,SoT%,-9999
Paulo Dybala,FW,Juventus,26,12.6,51,15,29.4,e0921a4f
Edin Džeko,FW,Roma,34,20.3,69,24,34.8,3bb7f478
Steeve-Mike Ebongue,MF,Genoa,19,0.6,0,0,,9d5ab351
Simone Edera,DFMF,Torino,23,0.6,3,1,33.3,8697c095
Albin Ekdal,MF,Sampdoria,31,25.5,14,3,21.4,f503ea63
Elif Elmas,MFFW,Napoli,20,8.2,13,6,46.2,cf007308
Alan Empereur,DF,Hellas Verona,26,2.4,1,0,0.0,825b8997
Christian Eriksen,MF,Inter,28,15.4,30,12,40.0,980522ec
Martin Erlic,DF,Spezia,22,20.0,10,3,30.0,0fee6bda
Gonzalo Escalante,MF,Lazio,27,8.1,7,3,42.9,3f79a1c8
Nahuel Estévez,MF,Spezia,24,19.6,24,8,33.3,cec60a2f
Valentin Eysseric,MFFW,Fiorentina,28,8.1,13,5,38.5,ae82fa48
Nicolò Fagioli,MF,Juventus,19,0.2,0,0,,366be751
Iago Falque,MFFW,Benevento,30,4.0,11,1,9.1,440c84ed
Andri Fannar Baldursson,MF,Bologna,18,2.4,2,0,0.0,61f2f56a
Paolo Faragò,DF,Bologna,27,0.3,1,0,0.0,9085dd7c
Paolo Faragò,DF,Cagliari,27,4.1,3,0,0.0,9085dd7c
Davide Faraoni,DF,Hellas Verona,28,32.1,34,9,26.5,aae9d04a
Mohamed Fares,DF,Lazio,24,12.7,14,4,28.6,b7a5bc86
Diego Farias,FW,Spezia,30,16.8,32,10,31.3,157d29b6
Andrea Favilli,FW,Hellas Verona,23,3.8,13,4,30.8,44510fde
Federico Fazio,DF,Roma,33,4.5,3,2,66.7,4e358a2d
Luiz Felipe,DF,Lazio,23,10.1,4,0,0.0,15d0c248
Alex Ferrari,DF,Sampdoria,26,9.8,0,0,,d0dbca9f
Salvador Ferrer,DF,Spezia,22,13.2,3,1,33.3,eb76987d
Marco Festa,GK,Crotone,28,1.0,0,0,,c195ae4a
Fernando Forestieri,FWMF,Udinese,30,6.1,11,3,27.3,d60c26fc
Daam Foulon,DF,Benevento,21,11.3,1,0,0.0,658d44be
Gianluca Frabotta,DFMF,Juventus,21,7.7,5,2,40.0,d80b1835
Remo Freuler,MF,Atalanta,28,30.1,20,6,30.0,98d2c2c4
Daniel Fuzato,GK,Roma,23,5.0,0,0,,82328faf
Matteo Gabbia,DF,Milan,20,6.2,5,0,0.0,c235e803
Manolo Gabbiadini,FW,Sampdoria,28,9.7,28,12,42.9,8f866fe8
Roberto Gagliardini,MF,Inter,26,13.7,17,5,29.4,ce30bfc8
Riccardo Gagliolo,DF,Parma,30,21.7,19,3,15.8,173061c0
Adolfo Gaich,FW,Benevento,21,8.5,23,6,26.1,8dfed6e9
Andrey Galabinov,FW,Spezia,31,4.8,7,3,42.9,0a1efd3c
Manuel Gasparini,GK,Udinese,18,0.0,0,0,,7033ca08
Gervinho,FW,Parma,33,22.5,32,12,37.5,e468c053
Paolo Ghiglione,DFMF,Genoa,23,15.1,10,2,20.0,71dc23da
Faouzi Ghoulam,DFFW,Napoli,29,3.2,3,0,0.0,c5adc293
Kamil Glik,DF,Benevento,32,35.6,29,11,37.9,c6056d58
Diego Godín,DF,Cagliari,34,27.9,12,4,33.3,fc4f85b1
Amer Gojak,MFFW,Torino,23,5.3,8,3,37.5,51ffa295
Edoardo Goldaniga,DF,Genoa,26,20.6,7,0,0.0,4b029b31
Vladimir Golemić,DF,Crotone,29,26.0,5,2,40.0,1db295e5
Pierluigi Gollini,GK,Atalanta,25,24.0,0,0,,f0f7f62f
Tomislav Gomelt,MF,Crotone,25,0.2,0,0,,a5055b1b
Papu Gómez,MFFW,Atalanta,32,7.4,29,12,41.4,6e4df551
Robin Gosens,DF,Atalanta,26,28.0,52,21,40.4,2d970560
Alberto Grassi,MFDF,Parma,25,13.1,10,3,30.0,6cc97b6a
Koray Günter,DF,Hellas Verona,25,19.6,6,2,33.3,f1f1f238
Manu Gyabuaa,MF,Atalanta,18,0.0,0,0,,a69eb5fd
Emmanuel Gyasi,FW,Spezia,26,31.7,29,15,51.7,f9758dae
Achraf Hakimi,DF,Inter,21,29.6,39,16,41.0,e42d61c7
Samir Handanović,GK,Inter,36,36.0,0,0,,74419746
Lukáš Haraslín,FWMF,Sassuolo,24,3.7,12,5,41.7,5c397195
Hans Hateboer,DF,Atalanta,26,19.6,27,13,48.1,3b333ac3
Eduardo Henrique,MF,Crotone,25,10.3,9,1,11.1,1bd5fc78
Theo Hernández,DF,Milan,22,32.6,47,13,27.7,d4c9725f
Hernani,MF,Parma,26,24.3,32,8,25.0,6f5ead86
Përparim Hetemaj,MF,Benevento,33,24.6,12,3,25.0,90b70194
Aaron Hickey,DF,Bologna,18,8.4,2,0,0.0,1780bb4a
Wesley Hoedt,DF,Lazio,26,10.6,2,0,0.0,875898c7
Elseid Hysaj,DF,Napoli,26,19.6,8,0,0.0,2f3452eb
Simone Iacoponi,DF,Parma,33,13.3,3,1,33.3,63071a3f
Roger Ibanez,DF,Roma,21,26.6,16,4,25.0,82efe6fa
Zlatan Ibrahimović,FW,Milan,38,16.6,75,34,45.3,4cde5509
Igor,DF,Fiorentina,22,13.0,1,1,100.0,a4e85758
Ivan Ilić,MF,Hellas Verona,19,20.4,12,3,25.0,bb376bed
Josip Iličić,MFFW,Atalanta,32,17.0,57,17,29.8,68252d6d
Ciro Immobile,FW,Lazio,30,31.7,112,44,39.3,4431aed2
Riccardo Improta,DFMF,Benevento,26,25.9,35,6,17.1,f6dfa5b8
Roberto Inglese,FW,Parma,28,6.4,8,5,62.5,6c1f7328
Lorenzo Insigne,FW,Napoli,29,31.8,136,40,29.4,2f557579
Roberto Insigne,MFFW,Benevento,26,17.8,38,12,31.6,8faf7b3c
Artur Ioniță,MF,Benevento,29,31.5,23,7,30.4,cedb3e36
Ardian Ismajli,DF,Spezia,23,14.4,6,1,16.7,6b635f5c
Armando Izzo,DF,Torino,28,22.3,17,3,17.6,89976232
Mato Jajalo,MF,Udinese,32,0.4,0,0,,8c65eb5f
Jakub Jankto,MF,Sampdoria,24,26.8,39,10,25.6,1ea5f91c
Juan Jesus,DF,Roma,29,1.7,0,0,,79083382
Hamed Junior Traorè,MFFW,Sassuolo,20,19.9,43,14,32.6,570bb4b9
Musa Juwara,MFDF,Bologna,18,0.5,1,1,100.0,7737dee2
Nikola Kalinić,FW,Hellas Verona,32,11.8,24,7,29.2,d4931a5a
Yayah Kallon,FW,Genoa,19,0.5,2,1,50.0,f95f49d2
Pierre Kalulu,DF,Milan,20,8.1,3,1,33.3,85f7d1be
Yann Karamoh,FWMF,Parma,22,14.4,22,10,45.5,8b66d9cc
Isaac Karamoko,DF,Sassuolo,18,0.0,0,0,,4c7919df
Augustus Kargbo,FW,Crotone,20,0.4,0,0,,0c8f27b5
Rick Karsdorp,DF,Roma,25,28.3,13,4,30.8,9f84febe
Franck Kessié,MF,Milan,23,35.8,36,8,22.2,05e19d6a
Omar Khailoti,DF,Bologna,18,0.3,0,0,,19d1c41f
Simon Kjær,DF,Milan,31,26.6,16,2,12.5,8b8a56ce
Ragnar Klavan,DF,Cagliari,34,8.6,6,1,16.7,008a6e6d
Justin Kluivert,MF,Roma,21,0.2,1,0,0.0,4c3a6744
Aleksandr Kokorin,FWMF,Fiorentina,29,1.0,0,0,,fec5accc
Aleksandar Kolarov,DF,Inter,34,4.3,6,2,33.3,eda40760
Márk Kosznovszky,MF,Parma,18,1.0,1,1,100.0,185bf610
