Player,Pos,Squad,Age,Cmp,Att,Cmp%,-9999
Adama Traoré,FWMF,Wolves,25,242,339,71.4,9a28eba4
Bertrand Traoré,MFFW,Aston Villa,25,61,84,72.6,c47541e0
Trézéguet,FW,Aston Villa,26,6,6,100.0,3ae14ed1
Francisco Trincão,FWMF,Wolves,21,356,463,76.9,77e39b04
Kieran Trippier,DF,Newcastle Utd,30,189,284,66.5,21512407
William Troost-Ekong,DF,Watford,27,466,604,77.2,7ed4921e
Leandro Trossard,FWMF,Brighton,26,898,1188,75.6,38ceb24a
Kostas Tsimikas,DF,Liverpool,25,508,705,72.1,f315ca93
Axel Tuanzebe,DF,Aston Villa,23,207,241,85.9,2baec6ce
Ozan Tufan,MF,Watford,26,85,122,69.7,17d45fb2
Christos Tzolis,FWMF,Norwich City,19,75,104,72.1,9f333379
Yan Valery,DF,Southampton,22,108,155,69.7,531a4aa8
Virgil van Dijk,DF,Liverpool,30,2376,2655,89.5,e06683ca
Raphaël Varane,DF,Manchester Utd,28,1014,1156,87.7,9f8e9423
Jamie Vardy,FW,Leicester City,34,184,265,69.4,45963054
Joël Veltman,DF,Brighton,29,1439,1869,77.0,dad4b285
Jannik Vestergaard,DF,Leicester City,28,335,377,88.9,1900032e
Nikola Vlašić,FWMF,West Ham,23,165,218,75.7,aa8e289e
Matěj Vydra,FW,Burnley,29,75,107,70.1,0d4ceb32
Theo Walcott,MFFW,Southampton,32,59,87,67.8,1ecb65be
Kyle Walker,DF,Manchester City,31,1478,1668,88.6,86dd77d1
Kyle Walker-Peters,DF,Southampton,24,1071,1368,78.3,984a5a64
Aaron Wan-Bissaka,DF,Manchester Utd,23,925,1141,81.1,9e525177
Danny Ward,GK,Leicester City,28,30,33,90.9,d3ce0e89
Joel Ward,DF,Crystal Palace,31,1372,1741,78.8,8a7ff278
James Ward-Prowse,MF,Southampton,26,1657,2137,77.5,3515d404
Ollie Watkins,FW,Aston Villa,25,484,699,69.2,aed3a70f
Adam Webster,DF,Brighton,26,950,1176,80.8,c40b6180
Wout Weghorst,FW,Burnley,28,276,434,63.6,c4e87b8b
Danny Welbeck,FWMF,Brighton,30,213,277,76.9,ce5143da
Timo Werner,FWMF,Chelsea,25,297,402,73.9,49fe9070
Ashley Westwood,MF,Burnley,31,871,1254,69.5,495945ef
Ben White,DF,Arsenal,23,1554,1839,84.5,35e413f1
Brandon Williams,DF,Norwich City,20,899,1130,79.6,5e74d6c8
Neco Williams,DF,Liverpool,20,9,9,100.0,dd323728
Joe Willock,MF,Newcastle Utd,21,450,565,79.6,a3b03921
Callum Wilson,FW,Newcastle Utd,29,107,159,67.3,c596fcb0
Harry Winks,MF,Tottenham,25,585,683,85.7,2f7acede
Yoane Wissa,FW,Brentford,24,188,286,65.7,2500cef9
Chris Wood,FW,Burnley,29,178,310,57.4,4e9a0555
Chris Wood,FW,Newcastle Utd,29,169,327,51.7,4e9a0555
Freddie Woodman,GK,Newcastle Utd,24,74,120,61.7,19e50035
Granit Xhaka,MFDF,Arsenal,28,1367,1589,86.0,e61b8aee
Andriy Yarmolenko,FWMF,West Ham,31,80,109,73.4,849c826a
Ashley Young,DFFW,Aston Villa,36,492,645,76.3,be927d03
Nathan Young-Coombes,MF,Brentford,18,0,0,,f9682888
Wilfried Zaha,FW,Crystal Palace,28,753,974,77.3,b2bc3b1f
Christoph Zimmermann,DF,Norwich City,28,46,63,73.0,2d5f03bf
Oleksandr Zinchenko,DF,Manchester City,24,953,1073,88.8,51cf8561
Hakim Ziyech,MFFW,Chelsea,28,544,755,72.1,6622454d
Kurt Zouma,DF,West Ham,26,875,999,87.6,ce4246f5
Martin Ødegaard,MFFW,Arsenal,22,1368,1633,83.8,79300479
