Player,Pos,Squad,Age,Tkl,TklW,Tkl%,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
Marco Festa,GK,Crotone,28,0,0,,0,0,0,0,0,0,0,c195ae4a
Fernando Forestieri,FWMF,Udinese,30,9,7,42.9,7,0,7,2,11,0,0,d60c26fc
Daam Foulon,DF,Benevento,21,26,15,57.1,12,3,9,14,40,34,0,658d44be
Gianluca Frabotta,DFMF,Juventus,21,7,4,41.7,9,1,8,14,21,15,0,d80b1835
Remo Freuler,MF,Atalanta,28,63,39,42.1,52,4,48,39,102,27,2,98d2c2c4
Daniel Fuzato,GK,Roma,23,0,0,,1,0,1,0,0,1,1,82328faf
Matteo Gabbia,DF,Milan,20,9,5,100.0,8,6,2,3,12,21,0,c235e803
Manolo Gabbiadini,FW,Sampdoria,28,2,2,0.0,3,1,2,3,5,5,0,8f866fe8
Roberto Gagliardini,MF,Inter,26,30,17,17.9,15,3,12,19,49,16,0,ce30bfc8
Riccardo Gagliolo,DF,Parma,30,45,18,62.2,34,7,27,36,81,64,1,173061c0
Adolfo Gaich,FW,Benevento,21,9,4,7.7,4,0,4,2,11,4,0,8dfed6e9
Andrey Galabinov,FW,Spezia,31,2,1,33.3,2,0,2,0,2,5,0,0a1efd3c
Manuel Gasparini,GK,Udinese,18,0,0,,0,0,0,0,0,0,0,7033ca08
Gervinho,FW,Parma,33,5,1,7.1,11,1,10,10,15,3,0,e468c053
Paolo Ghiglione,DFMF,Genoa,23,27,15,46.4,14,2,12,13,40,25,0,71dc23da
Faouzi Ghoulam,DFFW,Napoli,29,6,5,0.0,4,2,2,3,9,1,0,c5adc293
Kamil Glik,DF,Benevento,32,44,24,47.2,37,31,6,62,106,153,0,c6056d58
Diego Godín,DF,Cagliari,34,60,32,61.5,41,24,17,56,116,117,0,fc4f85b1
Amer Gojak,MFFW,Torino,23,1,0,14.3,5,0,5,3,4,1,0,51ffa295
Edoardo Goldaniga,DF,Genoa,26,28,18,60.9,17,7,10,38,66,62,1,4b029b31
Vladimir Golemić,DF,Crotone,29,33,16,73.7,38,26,12,40,73,97,2,1db295e5
Pierluigi Gollini,GK,Atalanta,25,1,0,50.0,1,0,1,1,2,11,0,f0f7f62f
Tomislav Gomelt,MF,Crotone,25,1,1,,0,0,0,1,2,0,0,a5055b1b
Papu Gómez,MFFW,Atalanta,32,3,2,25.0,8,1,7,1,4,1,0,6e4df551
Robin Gosens,DF,Atalanta,26,46,35,41.5,50,7,43,41,87,34,0,2d970560
Alberto Grassi,MFDF,Parma,25,30,11,27.6,22,9,13,26,56,32,0,6cc97b6a
Koray Günter,DF,Hellas Verona,25,20,10,44.4,27,21,6,70,90,87,0,f1f1f238
Manu Gyabuaa,MF,Atalanta,18,0,0,,0,0,0,0,0,0,0,a69eb5fd
Emmanuel Gyasi,FW,Spezia,26,30,16,29.0,13,2,11,14,44,8,0,f9758dae
Achraf Hakimi,DF,Inter,21,53,32,47.9,31,1,30,22,75,23,1,e42d61c7
Samir Handanović,GK,Inter,36,1,0,100.0,0,0,0,0,1,6,3,74419746
Lukáš Haraslín,FWMF,Sassuolo,24,8,4,40.0,1,0,1,0,8,2,0,5c397195
Hans Hateboer,DF,Atalanta,26,28,17,56.5,8,1,7,17,45,9,0,3b333ac3
Eduardo Henrique,MF,Crotone,25,5,2,25.0,6,1,5,7,12,7,1,1bd5fc78
Theo Hernández,DF,Milan,22,48,29,50.0,29,6,23,34,82,64,5,d4c9725f
Hernani,MF,Parma,26,51,25,43.9,35,4,31,31,82,40,1,6f5ead86
Përparim Hetemaj,MF,Benevento,33,44,27,42.6,41,5,36,22,66,24,1,90b70194
Aaron Hickey,DF,Bologna,18,12,8,41.2,6,1,5,15,27,15,1,1780bb4a
Wesley Hoedt,DF,Lazio,26,22,16,58.8,9,5,4,17,39,48,1,875898c7
Elseid Hysaj,DF,Napoli,26,29,17,51.5,18,4,14,30,59,52,0,2f3452eb
Simone Iacoponi,DF,Parma,33,22,12,50.0,9,4,5,11,33,42,1,63071a3f
