Player,Pos,Squad,Age,90s,Sh,SoT,SoT%,-9999
Leo Dubois,DF,Lyon,26,19.4,10,1,10.0,ff0ab48c
Jean-Kevin Duverne,DF,Brest,24,33.4,12,3,25.0,0cbc8baa
Enzo Ebosse,DF,Angers,22,21.0,3,0,0.0,9ba7b4fa
Hugo Ekitike,FW,Reims,19,14.1,29,16,55.2,5b92d896
Alberth Elis,FWMF,Bordeaux,25,15.7,30,11,36.7,104b4ad3
Sepe Elye Wahi,FW,Montpellier,18,19.8,43,20,46.5,0d7b6576
Renaud Emond,FWMF,Nantes,29,2.1,1,0,0.0,5c9ac7f0
Maxime Estève,DF,Montpellier,19,20.6,5,1,20.0,1a066e69
Fábio,DF,Nantes,31,18.5,11,1,9.1,bc7b4580
Cesc Fàbregas,MF,Monaco,34,0.4,0,0,,33508c78
Wout Faes,DF,Reims,23,37.0,22,9,40.9,9c221d14
Romain Faivre,FWMF,Lyon,23,9.9,20,6,30.0,745ca0a3
Romain Faivre,MF,Brest,23,19.9,32,12,37.5,745ca0a3
Wuilker Faríñez,GK,Lens,23,12.3,0,0,,2c127b6f
Noah Fatar,DFMF,Angers,19,0.1,0,0,,2693f6bc
Julien Faussurier,MFDF,Brest,34,5.4,4,3,75.0,767212e6
Jordan Ferri,MF,Montpellier,29,32.3,14,2,14.3,375622c5
Karol Fila,DF,Strasbourg,23,6.2,0,0,,50ac8941
Alexis Flips,MFDF,Reims,21,11.7,18,9,50.0,caef7840
Mamadou Fofana,DF,Metz,23,0.4,0,0,,4c4ffacc
Seko Fofana,MF,Lens,26,37.3,97,32,33.0,5313ed43
Youssouf Fofana,MF,Monaco,22,24.3,30,6,20.0,822d51d7
Thomas Foket,DFFW,Reims,26,24.8,8,3,37.5,90eb507d
Thomas Fontaine,DF,Lorient,30,1.9,0,0,,9f90c06b
José Fonte,DF,Lille,37,38.0,21,6,28.6,90f87966
Steven Fortes,DF,Lens,29,1.0,0,0,,574aa9ec
Przemysław Frankowski,DF,Lens,26,27.2,34,13,38.2,00a8d210
Fransérgio,MF,Bordeaux,30,14.0,14,2,14.3,deba6b05
Angelo Fulgini,MFFW,Angers,24,32.5,58,17,29.3,4b96c347
Gauthier Gallon,GK,Troyes,28,31.0,0,0,,db3164e1
Kévin Gameiro,FW,Strasbourg,34,26.5,65,25,38.5,42276181
Idrissa Gana Gueye,MF,Paris S-G,31,18.2,24,7,29.2,72c812f3
Ignatius Ganago,FW,Lens,22,11.4,31,10,32.3,23c63b7f
Djeidi Gassama,FW,Paris S-G,17,0.0,0,0,,bbdb2789
Johan Gastien,MF,Clermont Foot,33,30.5,24,7,29.2,868eaba0
Valère Germain,FW,Montpellier,31,21.9,32,16,50.0,ea0ff634
Gerson,MFFW,Marseille,24,28.3,45,18,40.0,8827bf46
Willem Geubbels,FWMF,Nantes,19,6.0,12,3,25.0,9836e892
Ismaël Gharbi,FW,Paris S-G,17,0.0,0,0,,5b3cfa12
Lamine Ghezali,DF,Saint-Étienne,22,0.0,0,0,,ce84946a
