Player,Pos,Squad,Age,90s,Sh,SoT,SoT%,-9999
Ben Gibson,DF,Norwich City,28,27.7,8,4,50.0,bcfb0142
Billy Gilmour,MF,Norwich City,20,20.6,18,3,16.7,df10e27c
Ben Godfrey,DF,Everton,23,22.5,18,6,33.3,9f7c837d
André Gomes,MF,Everton,28,6.9,14,4,28.6,1961b2aa
Toti Gomes,DF,Wolves,22,4.0,1,0,0.0,f0caab96
Joe Gomez,DF,Liverpool,24,3.7,1,0,0.0,7a11550b
Charlie Goode,DF,Brentford,25,5.0,2,0,0.0,7aee4dd3
Anthony Gordon,MFFW,Everton,20,25.4,44,18,40.9,2bd83368
Kaide Gordon,FW,Liverpool,16,0.1,1,1,100.0,19a9cb70
Dan Gosling,MF,Watford,31,1.8,2,1,50.0,7fec31a0
Demarai Gray,MFFW,Everton,25,26.0,65,17,26.2,4468ec10
Jack Grealish,FW,Manchester City,25,21.3,45,16,35.6,b0b4fd3e
Mason Greenwood,FWMF,Manchester Utd,19,14.1,48,18,37.5,58eee997
Sam Greenwood,MFFW,Leeds United,19,2.6,4,0,0.0,f3354c07
Pascal Groß,MFDF,Brighton,30,22.6,23,7,30.4,8aec0537
Vicente Guaita,GK,Crystal Palace,34,29.5,0,0,,ab13a5aa
Marc Guéhi,DF,Crystal Palace,21,35.8,19,5,26.3,d0706b27
Bruno Guimarães,MF,Newcastle Utd,23,11.5,23,12,52.2,82518f62
İlkay Gündoğan,MF,Manchester City,30,20.6,55,18,32.7,819b3158
Angus Gunn,GK,Norwich City,25,9.0,0,0,,e082af5b
Grant Hanley,DF,Norwich City,29,32.2,20,4,20.0,e9254eec
Jack Harrison,FWMF,Leeds United,24,29.3,43,17,39.5,aa849a12
Kortney Hause,DF,Aston Villa,26,4.4,2,2,100.0,bf8fad51
Kai Havertz,FWMF,Chelsea,22,20.1,56,23,41.1,fed7cb61
Isaac Hayden,MFDF,Newcastle Utd,26,11.1,5,1,20.0,c951a6df
Hwang Hee-chan,FWMF,Wolves,25,20.2,27,12,44.4,169fd162
Jordan Henderson,MF,Liverpool,31,28.9,31,6,19.4,935e6b8f
Jeff Hendrick,MF,Newcastle Utd,29,0.8,1,1,100.0,989d5705
Wayne Hennessey,GK,Burnley,34,2.0,0,0,,76eca7e2
Rico Henry,DF,Brentford,24,30.8,14,5,35.7,8a3c1dc7
Son Heung-min,MFFW,Tottenham,29,33.4,86,48,55.8,92e7e919
Ki-Jana Hoever,DFMF,Wolves,19,3.4,1,0,0.0,9a71e978
Rob Holding,DF,Arsenal,25,9.4,4,1,25.0,d79a8c87
Mason Holgate,DF,Everton,24,23.7,7,2,28.6,d0042ab9
Callum Hudson-Odoi,MFFW,Chelsea,20,10.7,18,7,38.9,15f3ec41
Will Hughes,MF,Crystal Palace,26,11.7,6,0,0.0,a0666d3e
Pierre Højbjerg,MF,Tottenham,25,35.5,31,10,32.3,8b04d6c1
Adam Idah,FWMF,Norwich City,20,6.9,14,4,28.6,291e3ec3
