Player,Pos,Squad,Age,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,-9999
Tom Cleverley,MF,Watford,31,2,0,0,28,19,2,54,18,20,0,0,0,81,14,29,32.6,6cdd8245
Nathaniel Clyne,DF,Crystal Palace,30,1,0,0,3,5,0,17,15,10,0,0,0,73,10,7,58.8,0442183b
Conor Coady,DF,Wolves,28,4,0,0,20,1,2,2,28,14,0,0,0,162,32,24,57.1,2928dca2
Séamus Coleman,DF,Everton,32,4,0,0,14,17,2,41,32,36,1,0,1,188,25,23,52.1,0420d84f
Nathan Collins,DF,Burnley,20,2,1,0,20,12,4,3,24,15,0,2,0,128,57,31,64.8,a8c19eb8
Aaron Connolly,FWMF,Brighton,21,0,0,0,0,6,0,0,0,0,0,0,0,7,2,5,28.6,27c01749
Liam Cooper,DF,Leeds United,29,5,0,0,19,9,2,1,43,23,0,1,0,118,82,44,65.1,dc64b8b3
Jack Cork,MF,Burnley,32,4,0,0,31,10,1,8,17,6,0,0,0,96,26,21,55.3,74e12f1e
Maxwel Cornet,FWMF,Burnley,24,2,0,0,20,20,26,55,10,9,2,0,0,81,24,45,34.8,beb391dd
Hélder Costa,MF,Leeds United,27,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0.0,f13d02a6
Vladimír Coufal,DF,West Ham,28,5,1,1,29,15,2,107,22,25,0,1,1,131,33,34,49.3,fdf3cb77
Philippe Coutinho,MFFW,Aston Villa,29,0,0,0,8,20,4,18,7,12,0,0,0,53,5,17,22.7,0ef89a37
Aaron Cresswell,DF,West Ham,31,3,0,0,14,10,2,145,35,18,0,1,0,163,32,24,57.1,4f974391
Charlie Cresswell,DF,Leeds United,18,1,0,0,3,0,1,1,2,2,0,0,0,6,6,3,66.7,4654e5f5
Cucho,FWMF,Watford,22,3,0,0,13,12,1,52,5,5,0,0,1,65,31,51,37.8,71b47ab9
Marc Cucurella,DF,Brighton,23,6,0,0,28,30,3,115,30,62,0,0,0,247,40,36,52.6,1daec722
Luke Cundle,MF,Wolves,19,0,0,0,3,1,0,2,1,3,0,0,0,12,0,2,0.0,cc3b8e78
Patson Daka,FW,Leicester City,22,2,0,0,17,14,7,1,2,10,0,0,0,29,17,44,27.9,ca45605e
Stuart Dallas,DFMF,Leeds United,30,5,0,0,33,30,2,101,57,55,0,1,0,219,32,34,48.5,67ca8566
Diogo Dalot,DF,Manchester Utd,22,4,0,0,18,4,1,58,29,41,0,0,0,151,29,17,63.0,d9565625
Karl Darlow,GK,Newcastle Utd,30,1,0,0,1,2,0,0,0,0,0,1,0,5,2,0,100.0,cde3309f
Josh Dasilva,MFFW,Brentford,22,0,1,0,4,3,0,4,1,1,0,0,0,23,3,1,75.0,60344e4f
Ben Davies,DF,Tottenham,28,6,0,0,31,18,5,19,30,21,0,1,0,106,67,52,56.3,44781702
Tom Davies,MF,Everton,23,1,0,0,4,3,0,0,2,1,0,0,0,9,3,2,60.0,9228b07c
Keinan Davis,FW,Aston Villa,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,9deaf2c8
Craig Dawson,DF,West Ham,31,5,1,0,39,12,1,1,29,17,0,3,0,113,93,55,62.8,3e9e06cb
Kevin De Bruyne,MF,Manchester City,30,2,0,0,21,27,4,180,6,16,0,0,0,114,11,18,37.9,e46012d4
Troy Deeney,FW,Watford,33,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,66.7,82e34b69
Liam Delap,FW,Manchester City,18,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,dd897ee7
Fabian Delph,MF,Everton,31,2,0,0,8,6,0,1,14,15,0,0,0,61,5,4,55.6,111c3236
Leander Dendoncker,MF,Wolves,26,4,0,0,13,6,0,5,9,17,0,0,0,107,30,33,47.6,5a7301ae
Emmanuel Dennis,FWMF,Watford,23,9,1,1,59,40,12,39,15,35,1,0,0,125,45,78,36.6,2c44a35d
Kiernan Dewsbury-Hall,MF,Leicester City,22,4,0,0,20,29,0,86,21,24,0,0,0,155,16,23,41.0,5c74c0f5
Ibrahima Diallo,MF,Southampton,22,1,0,0,8,15,0,7,9,11,0,0,0,77,11,12,47.8,11ff3d56
Rúben Dias,DF,Manchester City,24,5,0,0,27,9,2,3,23,19,0,0,0,108,50,37,57.5,31c69ef1
Luis Díaz,FW,Liverpool,24,0,0,0,14,14,3,14,4,7,0,0,0,54,15,16,48.4,4a1a9578
Eric Dier,DF,Tottenham,27,1,0,0,12,9,0,1,27,9,0,0,1,131,70,54,56.5,ac861941
Lucas Digne,DF,Aston Villa,28,2,0,0,18,16,3,101,23,10,0,0,0,77,23,20,53.5,1b84dbe1
Lucas Digne,DF,Everton,28,4,0,0,15,9,0,71,14,19,0,0,1,83,24,16,60.0,1b84dbe1
Issa Diop,DF,West Ham,24,0,0,0,5,5,1,0,7,8,0,0,0,55,16,17,48.5,a712ca2b
Moussa Djenepo,MF,Southampton,23,3,0,0,9,10,0,6,2,3,0,0,0,28,1,9,10.0,254147d4
Lewis Dobbin,FWMF,Everton,18,1,0,0,1,1,0,0,0,1,0,0,0,4,0,6,0.0,e814e1cf
Matt Doherty,DF,Tottenham,29,0,0,0,11,4,0,20,13,12,0,0,0,48,16,8,66.7,d557d734
Gabriel Dos Santos,DF,Arsenal,23,8,1,1,23,38,1,1,13,30,0,0,0,178,55,39,58.5,67ac5bb8
Abdoulaye Doucouré,MF,Everton,28,6,0,0,39,16,1,11,28,43,0,0,0,213,35,37,48.6,02b29014
Kieran Dowell,FWMF,Norwich City,23,0,0,0,19,4,0,38,7,7,0,0,0,37,8,28,22.2,2f6ec02a
Cody Drameh,DFMF,Leeds United,19,1,0,0,2,0,0,2,1,2,0,0,0,3,1,1,50.0,e0d1510a
