Player,Pos,Squad,Age,SCA,-9999
Nicolas Haas,MF,Empoli,25,32,fa449bba
Samir Handanović,GK,Inter,37,5,74419746
Ridgeciano Haps,DF,Venezia,28,31,c8d7131c
Abdou Harroui,MF,Sassuolo,23,13,65fd099c
Hans Hateboer,DFMF,Atalanta,27,33,3b333ac3
Silvan Hefti,DF,Genoa,23,22,f8342731
Liam Henderson,MF,Empoli,25,87,d7918b13
Dalbert Henrique,DFMF,Cagliari,27,57,f45f9427
Matheus Henrique,MF,Sassuolo,23,39,a2d9f138
Thomas Henry,FW,Venezia,26,41,9ef42479
Theo Hernández,DF,Milan,23,104,d4c9725f
Hernani,MFFW,Genoa,27,7,6f5ead86
Daan Heymans,MFFW,Venezia,22,6,6d70c771
Aaron Hickey,DF,Bologna,19,44,1780bb4a
Martin Hongla,MF,Hellas Verona,23,9,b85bf253
Sydney van Hooijdonk,FWMF,Bologna,21,0,5b418e15
Petko Hristov,DF,Spezia,22,8,d8800a46
Elseid Hysaj,DF,Lazio,27,39,2f3452eb
Roger Ibanez,DF,Roma,22,31,82efe6fa
Zlatan Ibrahimović,FW,Milan,39,47,4cde5509
Igor,DF,Fiorentina,23,19,a4e85758
Jonathan Ikone,FW,Fiorentina,23,27,42eaa028
Ivan Ilić,MF,Hellas Verona,20,56,bb376bed
Josip Iličić,MFFW,Atalanta,33,65,68252d6d
Ciro Immobile,FW,Lazio,31,72,4431aed2
Lorenzo Insigne,FW,Napoli,30,119,2f557579
Ardian Ismajli,DF,Empoli,24,11,6b635f5c
Armando Izzo,DF,Torino,29,4,89976232
Mato Jajalo,MF,Udinese,33,17,8c65eb5f
Paweł Jaroszyński,DF,Salernitana,26,11,958a601f
Juan Jesus,DF,Napoli,30,9,79083382
Dennis Johnsen,FWMF,Venezia,23,32,66784dee
Kaio Jorge,MFFW,Juventus,19,5,0cf465f2
Flavio Junior Bianchi,FWMF,Genoa,21,5,3ef965c1
Hamed Junior Traorè,FWMF,Sassuolo,21,80,570bb4b9
Nikola Kalinić,FW,Hellas Verona,33,13,d4931a5a
Yayah Kallon,FWMF,Genoa,20,26,f95f49d2
Pierre Kalulu,DF,Milan,21,27,85f7d1be
Dimitrije Kamenović,DF,Lazio,21,0,d3e0c826
Rick Karsdorp,DFFW,Roma,26,92,9f84febe
Denso Kasius,DFFW,Bologna,18,7,7ae36711
Grigoris Kastanos,MFFW,Salernitana,23,68,2a82aa85
Moise Kean,FW,Juventus,21,14,3d50bcdb
Wajdi Kechrida,DFMF,Salernitana,25,17,11962fe7
Dimitrios Keramitsis,MF,Roma,17,0,6f30a1d5
Franck Kessié,MF,Milan,24,65,05e19d6a
Jakub Kiwior,MF,Spezia,21,15,dc3e663e
Sofian Kiyine,MFFW,Venezia,23,50,ce1806be
Simon Kjær,DF,Milan,32,7,8b8a56ce
Aleksandr Kokorin,FWMF,Fiorentina,30,0,fec5accc
Aleksandar Kolarov,DF,Inter,35,0,eda40760
Teun Koopmeiners,MF,Atalanta,23,93,a26fb8aa
Kalidou Koulibaly,DF,Napoli,30,19,da974c7b
Christos Kourfalidis,MFFW,Cagliari,18,2,5c522c88
Viktor Kovalenko,MF,Spezia,25,27,9d60028d
Julian Kristoffersen,FW,Salernitana,24,0,b804c280
Rade Krunić,MFFW,Milan,27,39,817c6964
Dejan Kulusevski,FWMF,Juventus,21,25,df3cda47
Marash Kumbulla,DF,Roma,21,6,a40819d9
