,,,,Play,Play,Play,Play,Perf,Perf,Perf,Perf,-additional
Player,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,-9999
Pontus Jansson,DF,Brentford,30,37,37,3321,36.9,3,1,7,0,172e52d8
Mathias Jensen,MF,Brentford,25,31,19,1601,17.8,0,1,0,0,0f134faf
Gabriel Jesus,FW,Manchester City,24,28,21,1877,20.9,8,8,1,0,b66315ae
Raúl Jiménez,FW,Wolves,30,34,30,2631,29.2,6,4,9,2,b561db50
João Pedro,FWMF,Watford,19,28,15,1644,18.3,3,1,1,0,e8832875
Joelinton,MFFW,Newcastle Utd,24,35,30,2558,28.4,4,1,8,0,c17bfb65
Ben Johnson,DF,West Ham,21,20,16,1397,15.5,1,0,1,0,9319781b
Curtis Jones,MF,Liverpool,20,15,10,851,9.5,1,1,0,0,4fb9c88f
Phil Jones,DF,Manchester Utd,29,4,2,163,1.8,0,0,0,0,def899bd
Jorginho,MF,Chelsea,29,29,26,2273,25.3,6,2,5,0,45db685d
Diogo Jota,FW,Liverpool,24,35,27,2364,26.3,15,4,3,0,178ae8f8
James Justin,DF,Leicester City,23,13,11,998,11.1,0,0,0,0,fb614c44
Mathias Jørgensen,DF,Brentford,31,8,6,518,5.8,1,0,2,0,0db5d2c8
Ozan Kabak,DF,Norwich City,21,11,11,922,10.2,0,0,2,0,2d61d13a
Christian Kabasele,DF,Watford,30,16,12,1193,13.3,0,0,0,0,914ab9a1
Samuel Kalu,FW,Watford,23,4,2,222,2.5,0,0,0,0,b8d22478
Hassane Kamara,DF,Watford,27,19,18,1623,18.0,1,0,5,1,19a12bed
Harry Kane,FW,Tottenham,28,37,36,3232,35.9,17,9,5,0,21a66f6a
N'Golo Kanté,MF,Chelsea,30,26,21,1773,19.7,2,4,2,0,b9fbae28
Edo Kayembe,MF,Watford,23,13,9,799,8.9,0,0,0,0,f99b71de
Moise Kean,FW,Everton,21,1,0,1,0.0,0,0,0,0,3d50bcdb
Michael Keane,DF,Everton,28,32,31,2792,31.0,3,2,4,1,c5b7c315
Naby Keïta,MF,Liverpool,26,23,14,1173,13.0,3,1,3,0,f25c8e3a
Caoimhín Kelleher,GK,Liverpool,22,2,2,180,2.0,0,0,0,0,62d7ef38
Kenedy,DF,Chelsea,25,1,1,58,0.6,0,1,0,0,5eebbfdf
Jonjoe Kenny,DF,Everton,24,15,11,1018,11.3,0,1,3,1,099e666f
Max Kilman,DF,Wolves,24,30,30,2687,29.9,1,0,3,0,d0f72bf1
Joshua King,FW,Watford,29,32,27,2248,25.0,5,3,5,0,43458538
Kristoffer Klaesson,GK,Leeds United,20,1,0,36,0.4,0,0,0,0,3f70db80
Mateusz Klich,MF,Leeds United,31,33,26,2073,23.0,1,2,5,0,282679b4
Robin Koch,MFDF,Leeds United,25,20,17,1574,17.5,0,0,3,0,ea6bc03a
Sead Kolašinac,DF,Arsenal,28,2,1,91,1.0,0,0,1,0,3935e52e
Ibrahima Konaté,DF,Liverpool,22,11,11,990,11.0,0,0,2,0,5ed9b537
Ezri Konsa,DF,Aston Villa,23,29,29,2477,27.5,2,0,6,2,0313a347
Cheikhou Kouyaté,MF,Crystal Palace,31,27,23,1974,21.9,0,1,3,0,8d3c902d
Mateo Kovačić,MF,Chelsea,27,25,16,1558,17.3,2,5,4,0,79c0821a
Emil Krafth,DF,Newcastle Utd,26,20,18,1634,18.2,0,1,5,0,77cf6852
Alex Král,MF,West Ham,23,1,0,1,0.0,0,0,0,0,e717705a
Tim Krul,GK,Norwich City,33,29,29,2610,29.0,0,0,1,0,f23f9d20
Juraj Kucka,MF,Watford,34,26,22,1920,21.3,1,1,5,1,5aaef9ef
Dejan Kulusevski,MFFW,Tottenham,21,18,14,1261,14.0,5,8,3,0,df3cda47
Alexandre Lacazette,FW,Arsenal,30,30,20,1782,19.8,4,7,0,0,9dbb75ca
Adam Lallana,MF,Brighton,33,24,18,1561,17.3,0,1,4,0,99813635
Tariq Lamptey,DFFW,Brighton,20,30,16,1561,17.3,0,2,4,0,f4e433d4
Manuel Lanzini,MFFW,West Ham,28,30,19,1786,19.8,5,3,2,0,26f6dca8
Aymeric Laporte,DF,Manchester City,27,33,33,2828,31.4,4,0,5,1,119b9a8e
Jamaal Lascelles,DF,Newcastle Utd,27,26,22,2058,22.9,1,0,5,0,450ab6fc
Pierre Lees-Melou,MF,Norwich City,28,33,27,2265,25.2,1,0,5,0,f5044e54
Aaron Lennon,MFFW,Burnley,34,28,17,1551,17.2,2,0,2,0,2ff964a0
Bernd Leno,GK,Arsenal,29,4,4,360,4.0,0,0,0,0,2628fd2b
Jamal Lewis,DF,Newcastle Utd,23,5,4,262,2.9,0,0,1,0,efb9215a
Victor Lindelöf,DF,Manchester Utd,27,28,26,2355,26.2,0,2,4,0,f5deef4c
Jesse Lingard,FWMF,Manchester Utd,28,16,2,367,4.1,2,0,1,0,810e3c74
Valentino Livramento,DF,Southampton,18,28,25,2202,24.5,1,1,2,0,afed6722
Diego Llorente,DF,Leeds United,27,28,28,2340,26.0,3,0,7,0,bba30585
Hugo Lloris,GK,Tottenham,34,38,38,3420,38.0,0,0,2,0,8f62b6ee
Giovani Lo Celso,MFFW,Tottenham,25,9,2,238,2.6,0,0,0,0,d7553721
Jürgen Locadia,MFFW,Brighton,27,1,0,23,0.3,0,0,0,0,6cc47ae1
Ruben Loftus-Cheek,MFDF,Chelsea,25,24,13,1394,15.5,0,2,1,0,e97fd090
Kevin Long,DF,Burnley,30,6,4,410,4.6,0,0,1,0,5a4280b1
Shane Long,FW,Southampton,34,13,3,308,3.4,1,0,1,0,9f472354
Sean Longstaff,MF,Newcastle Utd,23,24,15,1464,16.3,1,1,1,0,a2b105e0
Ademola Lookman,FWMF,Leicester City,23,26,16,1453,16.1,6,0,2,0,7c104bb7
