Player,Pos,Squad,Age,Touches,Att,Succ,Succ%,Mis,Dis,-9999
Jesé,FW,Sampdoria,30-029,46,2,1,50.0,2,1,4a537185
Juan Jesus,DF,Napoli,31-290,522,0,0,,3,0,79083382
Þórir Jóhann Helgason,MF,Lecce,22-180,75,0,0,,3,2,dc765618
Luka Jović,FW,Fiorentina,25-094,332,12,7,58.3,21,14,4d8cd038
Hamed Junior Traorè,MFFW,Sassuolo,23-039,308,15,4,26.7,16,23,570bb4b9
Yayah Kallon,MFFW,Hellas Verona,21-270,326,29,8,27.6,26,15,f95f49d2
Pierre Kalulu,DF,Milan,22-295,1688,10,5,50.0,18,3,85f7d1be
Yann Karamoh,MFFW,Torino,24-262,212,38,17,44.7,23,10,8b66d9cc
Rick Karsdorp,DF,Roma,28-044,444,6,0,0.0,11,6,9f84febe
Denso Kasius,DF,Bologna,20-172,243,10,6,60.0,11,7,7ae36711
Grigoris Kastanos,MF,Salernitana,25-056,311,13,3,23.1,11,7,2a82aa85
Moise Kean,FW,Juventus,23-027,266,27,8,29.6,22,18,3d50bcdb
Jakub Kiwior,DF,Spezia,23-040,953,7,5,71.4,8,5,dc3e663e
Simon Kjær,DF,Milan,34-001,477,0,0,,1,0,8b8a56ce
Teun Koopmeiners,MF,Atalanta,25-027,1536,33,15,45.5,35,22,a26fb8aa
Filip Kostić,DFFW,Juventus,30-146,1140,38,17,44.7,44,17,b1cd37e6
Christian Kouamé,FW,Fiorentina,25-111,790,57,17,29.8,68,35,58e933d2
Viktor Kovalenko,MF,Spezia,27-041,241,3,3,100.0,8,1,9d60028d
Julian Kristoffersen,FW,Salernitana,25-321,4,0,0,,1,0,b804c280
Raimonds Krollis,FW,Spezia,21-150,5,0,0,,1,0,b4101c2e
Rade Krunić,MFFW,Milan,29-171,557,15,10,66.7,9,5,817c6964
Marash Kumbulla,DF,Roma,23-047,201,0,0,,2,0,a40819d9
Khvicha Kvaratskhelia,FW,Napoli,22-043,974,127,41,32.3,46,36,dea88efd
Giorgos Kyriakopoulos,FWDF,Bologna,27-050,168,8,6,75.0,6,5,0a483542
Giorgos Kyriakopoulos,FWDF,Sassuolo,27-050,505,31,14,45.2,14,18,0a483542
