Player,Pos,Squad,Age,SCA,-9999
Antonio Sanabria,FW,Torino,27-023,29,0a447501
Leandro Sanca,FWMF,Spezia,23-082,0,4295f19c
Alex Sandro,DF,Juventus,32-060,29,0d82903c
Nicola Sansone,FW,Bologna,31-198,14,7eb97a8e
Riccardo Saponara,FW,Fiorentina,31-096,41,3bb7af3b
Martin Satriano,FW,Empoli,22-035,31,86383d0e
Giorgio Scalvini,DF,Atalanta,19-106,22,1e9aa637
Jerdy Schouten,MF,Bologna,26-074,32,2cfae697
Perr Schuurs,DF,Torino,23-121,12,e613313c
Demba Seck,FWMF,Torino,22-045,9,16463a79
Jacopo Segre,DF,Torino,26-038,0,3cb132e6
Vivaldo Semedo,FW,Udinese,18-058,0,b6baba31
Stefano Sensi,MF,Monza,27-234,53,b70bde8f
Luigi Sepe,GK,Salernitana,31-323,1,343f753a
Leonardo Sernicola,DF,Cremonese,25-240,45,dd7febd8
Stephan El Shaarawy,DFMF,Roma,30-151,35,d3aaad90
Eldor Shomurodov,FW,Spezia,27-271,7,57469b2d
Eldor Shomurodov,FW,Roma,27-271,2,57469b2d
Marco Silvestri,GK,Udinese,32-025,6,0d422df7
Giovanni Simeone,FW,Napoli,27-265,6,343c0d52
Wilfried Singo,DF,Torino,22-092,32,8b609c34
Salvatore Sirigu,GK,Fiorentina,36-074,0,10dc46f0
Leo Skiri Østigård,DF,Napoli,23-119,2,b35a7399
Łukasz Skorupski,GK,Bologna,31-326,2,ab4449d6
Milan Škriniar,DF,Inter,28-044,11,30f5ffa9
Chris Smalling,DF,Roma,33-125,10,b6964eb6
Ola Solbakken,MFFW,Roma,24-201,1,78f13530
Brandon Soppy,DF,Udinese,21-034,4,28f66c2e
Brandon Soppy,DF,Atalanta,21-034,20,28f66c2e
Roberto Soriano,FWMF,Bologna,32-047,42,9d4c45d6
Joaquin Sosa,DF,Bologna,21-076,2,50841bef
Riccardo Sottil,FW,Fiorentina,23-297,28,94816803
Matìas Soulé,MFDF,Juventus,19-346,18,c13ddd3e
Adama Soumaoro,DF,Bologna,30-282,7,7b075c75
Leonardo Spinazzola,DF,Roma,30-002,34,3626daea
Marco Sportiello,GK,Atalanta,30-321,1,ac4003af
Petar Stojanović,DF,Empoli,27-171,40,13b44b02
Gabriel Strefezza,FW,Lecce,25-343,63,674cfc5a
Dávid Strelec,FW,Spezia,21-357,4,2cb9486d
Isaac Success,FW,Udinese,27-079,70,f573a8bf
Ibrahim Sulemana,MF,Hellas Verona,19-309,9,230c3f3a
Wojciech Szczęsny,GK,Juventus,32-343,1,01b8a2b2
Benjamin Tahirovic,MF,Roma,20-024,4,eb3022c3
Adrien Tameze,MF,Hellas Verona,29-051,36,8da74c05
Ciprian Tătărușanu,GK,Milan,37-046,7,b056e3da
Filippo Terracciano,DFMF,Hellas Verona,20-047,8,5cbb5ad6
Pietro Terracciano,GK,Fiorentina,33-019,3,e1b0a70d
Aleksa Terzić,DF,Fiorentina,23-222,27,3ef0a2d7
Florian Thauvin,FW,Udinese,30-060,7,2b9fdeea
Malick Thiaw,DF,Milan,21-231,5,ff5ea0bf
Kristian Thorstvedt,MF,Sassuolo,24-014,22,76ff8d0d
Jeremy Toljan,DF,Sassuolo,28-231,37,a96e5dc0
Rafael Tolói,DF,Atalanta,32-168,37,c56dc39e
Fikayo Tomori,DF,Milan,25-098,16,7edfbb8a
Sandro Tonali,MF,Milan,22-323,66,0db169ae
William Troost-Ekong,DF,Salernitana,29-207,1,7ed4921e
Frank Tsadjout,FWMF,Cremonese,23-242,9,0588a092
Alessandro Tuia,DF,Lecce,32-292,5,26c54058
Martin Turk,GK,Sampdoria,19-218,0,14ae023f
Iyenoma Udogie,DF,Udinese,20-119,66,7cd520e8
Samuel Umtiti,DF,Lecce,29-133,7,3eed9821
Diego Valencia,MFFW,Salernitana,23-072,1,71005acd
Emanuele Valeri,DF,Cremonese,24-110,60,ec52b661
Mattia Valoti,MF,Monza,29-202,5,c414df9d
Johan Vásquez,DF,Cremonese,24-156,11,5eaed77a
Matías Vecino,MF,Lazio,31-215,21,44ac04e9
Miguel Veloso,MF,Hellas Verona,36-320,32,ab1ca213
Lorenzo Venuti,DF,Fiorentina,27-349,17,983ff2c7
Daniele Verde,FWMF,Spezia,26-280,35,d3298c99
Simone Verdi,MF,Hellas Verona,30-258,27,0375723e
Valerio Verre,MF,Sampdoria,29-075,30,33ecf462
Guglielmo Vicario,GK,Empoli,26-171,6,77d6fd4d
Ronaldo Vieira,MF,Torino,24-251,,75e60d75
Ronaldo Vieira,MF,Sampdoria,24-251,,75e60d75
Emanuel Vignato,MFFW,Bologna,22-215,5,ec5dae45
Emanuel Vignato,FWMF,Empoli,22-215,3,ec5dae45
Samuele Vignato,FWMF,Monza,19-031,0,a14d0ab0
Tonny Vilhena,MF,Salernitana,28-083,42,c7069d87
Gonzalo Villar,MF,Sampdoria,25-004,9,bdc74a8f
Matías Viña,DF,Roma,25-138,4,08eb3b58
Dušan Vlahović,FW,Juventus,23-058,40,79443529
Nikola Vlašić,MFFW,Torino,25-174,82,aa8e289e
Joel Voelkerling Persson,FW,Lecce,20-071,2,b3ef6517
Mërgim Vojvoda,DF,Torino,28-054,37,be2706c0
Cristian Volpato,MF,Roma,19-132,6,72f87f25
Lukáš Vorlický,MFFW,Atalanta,21-068,1,f052fb01
Aster Vranckx,MF,Milan,20-174,1,f86cd5df
Stefan de Vrij,DF,Inter,31-050,8,d0d8dd44
Walace,MF,Udinese,27-357,38,26db8853
Sebastian Walukiewicz,DF,Empoli,22-356,0,217875a4
Georginio Wijnaldum,MF,Roma,32-136,5,eb58eef0
Harry Winks,MF,Sampdoria,27-053,16,2f7acede
Przemysław Wiśniewski,DF,Spezia,24-243,1,1bfe5ac9
Gerard Yepes,MF,Sampdoria,20-214,3,ee9040b4
Mattia Zaccagni,FW,Lazio,27-284,58,d85c238b
Denis Zakaria,MF,Juventus,26-127,1,384d58d9
Nicola Zalewski,DF,Roma,21-063,35,45191c29
Andre-Frank Zambo Anguissa,MF,Napoli,27-131,53,6bb2c084
Luca Zanimacchia,MFFW,Cremonese,24-251,33,5e834dce
Nicolò Zaniolo,MFFW,Roma,23-268,27,9907b1c8
Alessandro Zanoli,DF,Sampdoria,22-175,12,3b12b11f
Alessandro Zanoli,DF,Napoli,22-175,1,3b12b11f
Mattia Zanotti,DF,Inter,20-075,1,875d65d1
Duván Zapata,FW,Atalanta,31-360,28,d3de9af0
Davide Zappacosta,DFMF,Atalanta,30-289,16,7fe90ccd
Karim Zedadka,DF,Napoli,22-291,0,2f45300d
Deyovaisio Zeefuik,DF,Hellas Verona,25-016,0,58a2e9f6
Marvin Zeegelaar,DF,Udinese,32-227,0,8abd0c03
Alessio Zerbin,FWMF,Napoli,24-024,0,d19ef4ef
Piotr Zieliński,MF,Napoli,28-311,92,a5296e55
David Zima,DF,Torino,22-139,4,acf7e795
Joshua Zirkzee,FW,Bologna,21-309,24,028e70b9
Jeroen Zoet,GK,Spezia,32-080,1,cc1a0c57
Nadir Zortea,DFMF,Atalanta,23-281,8,82598b71
Nadir Zortea,DF,Sassuolo,23-281,9,82598b71
Petar Zovko,GK,Spezia,21-002,0,54f6afe3
Szymon Żurkowski,MF,Fiorentina,25-183,2,4e1d5e59
Szymon Żurkowski,MF,Spezia,25-183,2,4e1d5e59
Milan Đurić,FW,Hellas Verona,32-309,23,405f6586
Filip Đuričić,MFFW,Sampdoria,31-056,59,eccbe56a
