,,,,Play,Play,Play,Play,Perf,Perf,Perf,Perf,-additional
Player,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,-9999
Diego Farias,FW,Spezia,30,29,17,1514,16.8,4,2,5,0,157d29b6
Andrea Favilli,FW,Hellas Verona,23,11,2,339,3.8,2,0,1,0,44510fde
Federico Fazio,DF,Roma,33,6,5,406,4.5,1,0,2,0,4e358a2d
Luiz Felipe,DF,Lazio,23,14,10,909,10.1,0,0,5,0,15d0c248
Alex Ferrari,DF,Sampdoria,26,12,11,880,9.8,0,1,3,0,d0dbca9f
Salvador Ferrer,DF,Spezia,22,18,14,1190,13.2,0,1,4,0,eb76987d
Marco Festa,GK,Crotone,28,1,1,90,1.0,0,0,0,0,c195ae4a
Fernando Forestieri,FWMF,Udinese,30,19,3,552,6.1,1,1,1,0,d60c26fc
Daam Foulon,DF,Benevento,21,23,11,1021,11.3,0,1,4,0,658d44be
Gianluca Frabotta,DFMF,Juventus,21,15,8,689,7.7,0,1,5,0,d80b1835
Remo Freuler,MF,Atalanta,28,34,32,2712,30.1,2,3,5,0,98d2c2c4
Daniel Fuzato,GK,Roma,23,5,5,450,5.0,0,0,0,0,82328faf
Matteo Gabbia,DF,Milan,20,8,7,557,6.2,0,0,2,0,c235e803
Manolo Gabbiadini,FW,Sampdoria,28,16,10,870,9.7,3,2,1,0,8f866fe8
Roberto Gagliardini,MF,Inter,26,28,14,1232,13.7,3,2,2,0,ce30bfc8
Riccardo Gagliolo,DF,Parma,30,28,22,1956,21.7,2,2,6,0,173061c0
Adolfo Gaich,FW,Benevento,21,15,9,768,8.5,2,0,1,0,8dfed6e9
Andrey Galabinov,FW,Spezia,31,12,4,430,4.8,3,1,0,0,0a1efd3c
Manuel Gasparini,GK,Udinese,18,1,0,3,0.0,0,0,0,0,7033ca08
Gervinho,FW,Parma,33,27,25,2021,22.5,5,1,0,0,e468c053
Paolo Ghiglione,DFMF,Genoa,23,23,14,1358,15.1,0,4,4,0,71dc23da
Faouzi Ghoulam,DFFW,Napoli,29,11,3,289,3.2,0,0,1,0,c5adc293
Kamil Glik,DF,Benevento,32,36,36,3206,35.6,2,1,10,1,c6056d58
Diego Godín,DF,Cagliari,34,28,28,2508,27.9,1,0,3,0,fc4f85b1
Amer Gojak,MFFW,Torino,23,15,6,475,5.3,1,1,1,0,51ffa295
Edoardo Goldaniga,DF,Genoa,26,25,19,1857,20.6,0,1,8,0,4b029b31
Vladimir Golemić,DF,Crotone,29,30,26,2341,26.0,2,0,4,1,1db295e5
Pierluigi Gollini,GK,Atalanta,25,25,25,2156,24.0,0,0,0,1,f0f7f62f
Tomislav Gomelt,MF,Crotone,25,2,0,19,0.2,0,0,0,0,a5055b1b
Papu Gómez,MFFW,Atalanta,32,10,9,666,7.4,4,2,0,0,6e4df551
Robin Gosens,DF,Atalanta,26,32,30,2523,28.0,11,6,9,1,2d970560
Alberto Grassi,MFDF,Parma,25,23,13,1177,13.1,0,0,3,0,6cc97b6a
Koray Günter,DF,Hellas Verona,25,27,21,1768,19.6,0,2,4,0,f1f1f238
Manu Gyabuaa,MF,Atalanta,18,1,0,2,0.0,0,0,0,0,a69eb5fd
Emmanuel Gyasi,FW,Spezia,26,37,32,2851,31.7,4,6,4,0,f9758dae
Achraf Hakimi,DF,Inter,21,37,29,2665,29.6,7,8,6,0,e42d61c7
Samir Handanović,GK,Inter,36,37,37,3240,36.0,0,0,1,0,74419746
Lukáš Haraslín,FWMF,Sassuolo,24,14,2,333,3.7,0,0,1,1,5c397195
Hans Hateboer,DF,Atalanta,26,22,20,1762,19.6,2,1,3,0,3b333ac3
Eduardo Henrique,MF,Crotone,25,18,8,924,10.3,1,0,4,0,1bd5fc78
Theo Hernández,DF,Milan,22,33,33,2933,32.6,7,5,9,0,d4c9725f
Hernani,MF,Parma,26,33,27,2189,24.3,7,3,11,0,6f5ead86
Përparim Hetemaj,MF,Benevento,33,31,27,2212,24.6,0,2,5,0,90b70194
Aaron Hickey,DF,Bologna,18,11,10,758,8.4,0,0,3,1,1780bb4a
Wesley Hoedt,DF,Lazio,26,17,10,952,10.6,0,0,6,0,875898c7
Elseid Hysaj,DF,Napoli,26,24,20,1768,19.6,0,2,2,0,2f3452eb
Simone Iacoponi,DF,Parma,33,16,13,1193,13.3,0,0,3,1,63071a3f
Roger Ibanez,DF,Roma,21,30,28,2398,26.6,0,2,7,1,82efe6fa
Zlatan Ibrahimović,FW,Milan,38,19,18,1493,16.6,15,2,2,1,4cde5509
Igor,DF,Fiorentina,22,21,13,1168,13.0,0,0,5,0,a4e85758
Ivan Ilić,MF,Hellas Verona,19,29,19,1835,20.4,2,0,2,0,bb376bed
Josip Iličić,MFFW,Atalanta,32,28,17,1526,17.0,6,9,2,0,68252d6d
Ciro Immobile,FW,Lazio,30,35,34,2849,31.7,20,6,4,1,4431aed2
Riccardo Improta,DFMF,Benevento,26,34,23,2335,25.9,1,0,7,0,f6dfa5b8
Roberto Inglese,FW,Parma,28,14,6,576,6.4,0,2,2,0,6c1f7328
Lorenzo Insigne,FW,Napoli,29,35,33,2865,31.8,19,8,2,1,2f557579
Roberto Insigne,MFFW,Benevento,26,30,17,1599,17.8,2,4,2,0,8faf7b3c
Artur Ioniță,MF,Benevento,29,36,34,2835,31.5,2,0,6,0,cedb3e36
Ardian Ismajli,DF,Spezia,23,17,14,1297,14.4,1,1,3,1,6b635f5c
Armando Izzo,DF,Torino,28,25,24,2004,22.3,2,0,3,0,89976232
Mato Jajalo,MF,Udinese,32,1,0,34,0.4,0,0,0,0,8c65eb5f
Jakub Jankto,MF,Sampdoria,24,35,29,2409,26.8,6,3,6,0,1ea5f91c
Juan Jesus,DF,Roma,29,5,0,157,1.7,0,0,0,0,79083382
Hamed Junior Traorè,MFFW,Sassuolo,20,35,20,1789,19.9,5,2,6,0,570bb4b9
Musa Juwara,MFDF,Bologna,18,5,0,46,0.5,0,0,1,0,7737dee2
Nikola Kalinić,FW,Hellas Verona,32,19,15,1063,11.8,2,0,2,0,d4931a5a
Yayah Kallon,FW,Genoa,19,1,0,45,0.5,0,0,0,0,f95f49d2
Pierre Kalulu,DF,Milan,20,13,7,727,8.1,1,1,1,0,85f7d1be
Yann Karamoh,FWMF,Parma,22,24,16,1294,14.4,2,1,3,0,8b66d9cc
Isaac Karamoko,DF,Sassuolo,18,1,0,1,0.0,0,0,0,0,4c7919df
Augustus Kargbo,FW,Crotone,20,1,0,32,0.4,0,0,0,0,0c8f27b5
Rick Karsdorp,DF,Roma,25,34,28,2544,28.3,1,6,2,0,9f84febe
Franck Kessié,MF,Milan,23,37,36,3226,35.8,13,4,8,0,05e19d6a
Omar Khailoti,DF,Bologna,18,1,0,28,0.3,0,0,0,0,19d1c41f
Simon Kjær,DF,Milan,31,28,28,2393,26.6,0,2,3,0,8b8a56ce
Ragnar Klavan,DF,Cagliari,34,15,9,770,8.6,0,0,1,0,008a6e6d
Justin Kluivert,MF,Roma,21,2,0,19,0.2,0,0,0,0,4c3a6744
Aleksandr Kokorin,FWMF,Fiorentina,29,4,0,94,1.0,0,0,1,0,fec5accc
Aleksandar Kolarov,DF,Inter,34,7,4,390,4.3,0,1,0,0,eda40760
Márk Kosznovszky,MF,Parma,18,1,1,90,1.0,0,0,0,0,185bf610
Christian Kouamé,FW,Fiorentina,22,33,9,995,11.1,1,1,4,0,58e933d2
Kalidou Koulibaly,DF,Napoli,29,26,25,2209,24.5,0,0,10,1,da974c7b
Viktor Kovalenko,FW,Atalanta,24,1,0,4,0.0,0,0,0,0,9d60028d
Rade Krunić,MFFW,Milan,26,25,5,723,8.0,1,2,3,0,817c6964
Juraj Kucka,MFFW,Parma,33,28,28,2334,25.9,7,2,8,0,5aaef9ef
Dejan Kulusevski,MFFW,Juventus,20,35,19,1923,21.4,4,3,7,0,df3cda47
Marash Kumbulla,DF,Roma,20,21,14,1363,15.1,1,0,8,0,a40819d9
Jasmin Kurtić,MF,Parma,31,34,31,2739,30.4,4,0,5,0,144607cc
Giorgos Kyriakopoulos,DF,Sassuolo,24,23,16,1456,16.2,1,0,3,1,0a483542
Antonino La Gumina,FW,Sampdoria,24,9,4,341,3.8,0,0,0,0,822a7761
Sam Lammers,FWMF,Atalanta,23,15,1,291,3.2,2,0,0,0,c283ddef
Gianluca Lapadula,FW,Benevento,30,37,29,2563,28.5,8,2,2,0,2ead2809
Danilo Larangeira,DF,Bologna,36,35,34,3132,34.8,0,1,8,0,fed5f993
Kevin Lasagna,FW,Udinese,27,17,12,1103,12.3,2,1,1,0,09538fdb
Kevin Lasagna,FW,Hellas Verona,27,19,14,1267,14.1,2,0,0,0,09538fdb
Vincent Laurini,DF,Parma,31,14,10,870,9.7,0,0,1,0,3535098b
Darko Lazović,DFMF,Hellas Verona,29,32,27,2503,27.8,3,6,3,0,5128bde4
Manuel Lazzari,DF,Lazio,26,32,30,2613,29.0,2,5,2,1,02caf6e0
Rafael Leão,FW,Milan,21,30,22,1924,21.4,6,6,5,0,20730eae
Lucas Leiva,MF,Lazio,33,32,30,2131,23.7,0,0,10,0,4c78b5ed
Lukas Lerager,MF,Genoa,27,16,13,1159,12.9,0,1,0,0,1b82f8df
Mehdi Léris,DFMF,Sampdoria,22,20,3,386,4.3,0,0,1,0,7d3cbc67
Karlo Letica,GK,Sampdoria,23,1,1,90,1.0,0,0,0,0,4a6914ff
