Player,Pos,Squad,Age,Cmp,Att,Cmp%,-9999
Jean-Clair Todibo,DF,Nice,21,2131,2446,87.1,88f130ed
Karl Toko Ekambi,FW,Lyon,28,732,941,77.8,5ceba7fc
Yoann Touzghar,FW,Troyes,34,237,302,78.5,4e47507a
Amadou Traore,FW,Bordeaux,19,2,4,50.0,4eb0686f
Boubacar Traoré,MF,Metz,19,606,733,82.7,999ceb5f
Charles Traore,DF,Nantes,29,329,421,78.1,de488e56
Hamari Traoré,DF,Rennes,29,1804,2164,83.4,a4b1028a
Ismaël Traoré,DF,Angers,34,1561,1766,88.4,b666421b
Miguel Trauco,DFMF,Saint-Étienne,28,511,710,72.0,e4b72e34
Adrien Truffert,DF,Rennes,19,938,1155,81.2,5d0e0a1f
Matthieu Udol,DF,Metz,25,387,497,77.9,cc41f558
Ike Ugbo,FW,Troyes,22,104,133,78.2,8a53d24b
Chimuanya Ugochukwu,MF,Rennes,17,194,223,87.0,1df4a109
Hwang Ui-jo,FW,Bordeaux,28,321,426,75.4,a2d873dd
Cengiz Ünder,FWMF,Marseille,24,690,946,72.9,1880614f
Jere Uronen,DF,Brest,27,355,458,77.5,d75f3980
Vanderson,FWDF,Monaco,20,423,591,71.6,ee45fd85
Jonathan Varane,MF,Lens,19,1,1,100.0,4ade359f
Marco Verratti,MF,Paris S-G,28,1957,2151,91.0,1467af0d
Kevin Volland,MFFW,Monaco,29,416,629,66.1,64f69877
Timothy Weah,MFFW,Lille,21,407,566,71.9,8eec784d
Georginio Wijnaldum,MF,Paris S-G,30,669,746,89.7,eb58eef0
Christopher Wooh,DF,Lens,19,526,604,87.1,b003239d
Xeka,MF,Lille,26,690,878,78.6,f3600c02
Sekou Yansané,FW,Paris S-G,18,2,2,100.0,bce37ac0
Yusuf Yazıcı,MFFW,Lille,24,180,245,73.5,f5c8b425
Burak Yılmaz,FW,Lille,36,408,576,70.8,165a2e40
Leny Yoro,MF,Lille,15,6,6,100.0,6763f716
Zaydou Youssouf,MF,Saint-Étienne,22,607,736,82.5,e2f9bb5f
Akim Zedadka,DF,Clermont Foot,26,1688,2101,80.3,0ff630d0
Arber Zeneli,FW,Reims,26,87,127,68.5,095e4199
Mehdi Zerkane,MFDF,Bordeaux,22,41,45,91.1,53f6306f
Edon Zhegrova,MFFW,Lille,22,179,236,75.8,34a88e3e
Banhie Zoukrou,DF,Troyes,18,24,26,92.3,aefa3050
