Player,Pos,Squad,Age,SCA,-9999
Jacob Murphy,FWDF,Newcastle Utd,26,46,de112b84
Enock Mwepu,MF,Brighton,23,26,1d5cab82
Vitaliy Mykolenko,DF,Everton,22,16,30d4a2e5
Marvelous Nakamba,MF,Aston Villa,27,10,de5b5570
Wilfred Ndidi,MFDF,Leicester City,24,18,6b47c5db
Tanguy Ndombele,MF,Tottenham,24,15,5cdddffa
Reiss Nelson,FW,Arsenal,21,3,c5bdb6e3
Pedro Neto,FWMF,Wolves,21,25,7ba2eaa9
Rúben Neves,MF,Wolves,24,67,44bfb6c5
Jeremy Ngakia,DF,Watford,20,16,3631ad41
Saúl Ñíguez,DFMF,Chelsea,26,7,c14bc029
Eddie Nketiah,FW,Arsenal,22,26,a53649b7
Nicolas Nkoulou,DF,Watford,31,1,93cf32a8
Mark Noble,MF,West Ham,34,6,ff527768
Mathias Normann,MF,Norwich City,25,37,8996350d
Christian Nørgaard,MF,Brentford,27,58,df0a4c90
Angelo Ogbonna,DF,West Ham,33,3,74b2cd7e
Michael Olise,FWMF,Crystal Palace,19,44,c4486bac
Robin Olsen,GK,Aston Villa,31,1,e7ee38c3
Andrew Omobamidele,DF,Norwich City,19,3,c393a6c4
Tyler Onyango,MF,Everton,18,0,d86a1f3e
Frank Onyeka,MF,Brentford,23,17,2944f86f
Divock Origi,FW,Liverpool,26,3,43a166b4
Alex Oxlade-Chamberlain,MFFW,Liverpool,27,25,38c7feef
Cole Palmer,FWMF,Manchester City,19,7,dc7f8a28
Emerson Palmieri,DF,Chelsea,26,0,e0bc6fdc
Thomas Partey,MF,Arsenal,28,61,529f49ab
Nicolas Pépé,FWMF,Arsenal,26,36,57e3f0c7
Ricardo Pereira,DF,Leicester City,27,32,75a72a99
Ayoze Pérez,MFFW,Leicester City,28,20,819aa8e7
Sonny Perkins,FW,West Ham,17,,87f12e30
Romain Perraud,DF,Southampton,23,24,6dfd8f05
Kalvin Phillips,MF,Leeds United,25,30,4f565d77
Jaden Philogene Bidace,FW,Aston Villa,19,1,19f4d211
